,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.001,391.995436,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
1,0.5,311.1269837,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
2,1.001,261.6255653,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,1
3,1.5,415.3046976,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
4,2.001,415.3046976,-17.5,0,0,stim_min_2,'sub05',main,1,0,0,1
5,2.501,391.995436,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
6,2.876,493.8833013,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
7,3.0,523.2511306,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,1
8,3.5,349.2282314,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
9,4.001,349.2282314,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,1
10,4.501,311.1269837,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
11,4.875,493.8833013,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
12,5.001,523.2511306,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,1
13,5.501,293.6647679,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
14,6.0,311.1269837,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,1
15,6.167,349.2282314,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
16,6.334,391.995436,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
17,6.501,349.2282314,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
18,6.667,311.1269837,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
19,6.834,293.6647679,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
20,7.0,261.6255653,-17.5,0,0,stim_min_2,'sub05',main,0,0,0,1
21,8.548,391.995436,1.0,0,0,stim_min_2,'sub05',main,0,1,1,1
22,9.001,261.6255653,1.0,0,0,stim_min_2,'sub05',main,0,0,0,0
23,9.501,261.6255653,1.0,0,0,stim_min_2,'sub05',main,0,0,0,0
24,10.0,261.6255653,1.0,0,0,stim_min_2,'sub05',main,0,0,0,1
25,10.501,415.3046976,1.0,0,0,stim_min_2,'sub05',main,0,0,0,0
26,10.751,349.2282314,1.0,0,0,stim_min_2,'sub05',main,0,0,0,0
27,11.001,246.9416506,1.0,0,0,stim_min_2,'sub05',main,0,0,0,1
28,11.501,246.9416506,1.0,0,0,stim_min_2,'sub05',main,0,0,0,0
29,12.001,246.9416506,1.0,0,0,stim_min_2,'sub05',main,0,0,0,1
30,12.251,261.6255653,1.0,0,0,stim_min_2,'sub05',main,0,0,0,0
31,12.501,293.6647679,1.0,0,0,stim_min_2,'sub05',main,0,0,0,0
32,12.75,311.1269837,1.0,0,0,stim_min_2,'sub05',main,0,0,0,0
33,13.0,349.2282314,1.0,0,0,stim_min_2,'sub05',main,0,0,0,1
34,13.251,311.1269837,1.0,0,0,stim_min_2,'sub05',main,0,0,0,0
35,13.501,293.6647679,1.0,0,0,stim_min_2,'sub05',main,0,0,0,0
36,13.751,311.1269837,1.0,0,0,stim_min_2,'sub05',main,0,0,0,0
37,14.0,349.2282314,1.0,0,0,stim_min_2,'sub05',main,0,0,0,1
38,14.25,415.3046976,1.0,0,0,stim_min_2,'sub05',main,0,0,0,0
39,14.501,391.995436,1.0,0,0,stim_min_2,'sub05',main,0,0,0,0
40,14.751,349.2282314,1.0,0,0,stim_min_2,'sub05',main,0,0,0,0
41,15.001,311.1269837,1.0,0,0,stim_min_2,'sub05',main,0,0,0,1
42,16.001,523.2511306,17.5,0,0,stim_min_2,'sub05',main,1,1,1,1
43,16.25,587.3295358,17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
44,16.5,493.8833013,17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
45,16.75,523.2511306,17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
46,17.001,440.0,17.5,0,0,stim_min_2,'sub05',main,0,0,0,1
47,17.5,880.0,17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
48,18.001,830.6093952,17.5,0,0,stim_min_2,'sub05',main,0,0,0,1
49,18.251,880.0,17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
50,18.5,739.9888454,17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
51,18.75,830.6093952,17.5,0,0,stim_min_2,'sub05',main,0,0,0,0
