,stimulus,time,corr,fa,hit,miss,hit_rate,false_rate,z_hit_rate,z_false_rate,d_prime,precision,recall,ff1
0,stim_maj_1,9.0,2.0,0.0,2.0,1.0,0.6666666666666666,0.0,-0.10709161150491855,-0.6204139737895339,0.5133223622846154,1.0,0.6666666666666666,0.8
1,stim_maj_1,16.0,0.0,0.0,2.0,1.0,0.6666666666666666,0.0,-0.10709161150491855,-0.6204139737895339,0.5133223622846154,1.0,0.6666666666666666,0.8
2,stim_maj_1,24.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.854656217157319,-0.6204139737895339,-1.234242243367785,,,
3,stim_maj_1,32.0,1.0,0.0,4.0,0.0,1.0,0.0,0.7666906913212819,-0.6204139737895339,1.3871046651108156,1.0,1.0,1.0
4,stim_maj_1,40.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7666906913212819,-0.6204139737895339,1.3871046651108156,1.0,1.0,1.0
5,stim_maj_1,48.0,1.0,0.0,1.0,1.0,0.5,0.0,-0.5439827629180186,-0.6204139737895339,0.07643121087151528,1.0,0.5,0.6666666666666666
6,stim_maj_1,57.0,0.0,0.0,3.0,0.0,1.0,0.0,0.7666906913212819,-0.6204139737895339,1.3871046651108156,1.0,1.0,1.0
7,stim_maj_2,9.0,2.0,0.0,1.0,0.0,1.0,0.0,0.7666906913212819,-0.6204139737895339,1.3871046651108156,1.0,1.0,1.0
8,stim_maj_2,17.0,2.0,0.0,2.0,1.0,0.6666666666666666,0.0,-0.10709161150491855,-0.6204139737895339,0.5133223622846154,1.0,0.6666666666666666,0.8
9,stim_maj_2,24.0,1.0,0.0,1.0,1.0,0.5,0.0,-0.5439827629180186,-0.6204139737895339,0.07643121087151528,1.0,0.5,0.6666666666666666
10,stim_maj_2,32.0,1.0,0.0,2.0,0.0,1.0,0.0,0.7666906913212819,-0.6204139737895339,1.3871046651108156,1.0,1.0,1.0
11,stim_maj_2,48.0,0.0,0.0,4.0,1.0,0.8,0.0,0.2424213096255618,-0.6204139737895339,0.8628352834150956,1.0,0.8,0.8888888888888888
12,stim_maj_2,56.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7666906913212819,-0.6204139737895339,1.3871046651108156,1.0,1.0,1.0
13,stim_maj_3,8.0,1.0,1.0,0.0,1.0,0.0,0.5,-1.854656217157319,0.7125278388936566,-2.5671840560509755,0.0,0.0,0.0
14,stim_maj_3,16.0,1.0,0.0,1.0,1.0,0.5,0.0,-0.5439827629180186,-0.6204139737895339,0.07643121087151528,1.0,0.5,0.6666666666666666
15,stim_maj_3,25.0,0.0,0.0,3.0,0.0,1.0,0.0,0.7666906913212819,-0.6204139737895339,1.3871046651108156,1.0,1.0,1.0
