,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.513,261.6255653,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
1,1.005,293.6647679,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
2,1.502,329.6275569,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
3,2.002,349.2282314,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
4,2.765,391.995436,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
5,2.89,349.2282314,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
6,3.015,329.6275569,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
7,3.515,440.0,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
8,4.015,293.6647679,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
9,4.5,391.995436,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
10,5.263,440.0,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
11,5.513,391.995436,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
12,5.76,349.2282314,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
13,6.01,329.6275569,1.0,0,0.0,stim_maj_1,p_,main,1,0,1,1
14,6.257,349.2282314,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
15,6.507,329.6275569,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
16,6.754,293.6647679,1.0,1,6.973,stim_maj_1,p_,main,0,0,0,0
17,7.004,261.6255653,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
18,8.504,391.995436,1.0,0,0.0,stim_maj_1,p_,main,0,1,0,1
19,9.001,440.0,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
20,9.251,391.995436,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
21,9.501,349.2282314,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
22,9.765,391.995436,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
23,10.015,659.2551138,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
24,10.511,523.2511306,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
25,11.008,391.995436,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
26,11.505,349.2282314,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
27,11.755,329.6275569,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
28,12.004,349.2282314,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
29,12.504,587.3295358,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
30,13.001,329.6275569,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
31,13.501,523.2511306,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
32,14.001,293.6647679,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
33,14.513,493.8833013,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
34,15.01,523.2511306,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
35,16.011,261.6255653,17.5,0,0.0,stim_maj_1,p_,main,1,1,1,1
36,16.136,293.6647679,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
37,16.261,329.6275569,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
38,16.386,349.2282314,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
39,16.507,329.6275569,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
40,16.632,293.6647679,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
41,16.757,329.6275569,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
42,16.882,261.6255653,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
43,17.004,440.0,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
44,17.754,440.0,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
45,18.004,391.995436,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
46,18.75,349.2282314,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
47,19.0,329.6275569,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
48,19.76,349.2282314,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
49,20.01,329.6275569,1.0,0,0.0,stim_maj_1,p_,main,1,0,1,1
50,20.76,293.6647679,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
51,21.009,261.6255653,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
52,21.513,195.997718,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
53,22.01,261.6255653,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
54,22.26,293.6647679,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
55,22.508,329.6275569,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
56,22.757,293.6647679,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
57,23.007,261.6255653,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
58,24.001,391.995436,-17.5,0,0.0,stim_maj_1,p_,main,0,1,1,1
59,24.251,329.6275569,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
60,24.501,293.6647679,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
61,24.751,329.6275569,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
62,25.001,261.6255653,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
63,25.263,349.2282314,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
64,25.513,329.6275569,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
65,25.763,349.2282314,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
66,26.013,440.0,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
67,26.509,391.995436,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
68,27.505,369.9944227,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
69,27.751,293.6647679,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
70,28.009,523.2511306,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
71,28.509,493.8833013,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
72,29.013,440.0,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
73,30.009,391.995436,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
74,30.259,587.3295358,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
75,30.509,493.8833013,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
76,30.756,440.0,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
77,31.006,493.8833013,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
78,31.503,391.995436,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
79,32.006,523.2511306,1.0,0,0.0,stim_maj_1,p_,main,1,1,1,1
80,32.506,493.8833013,1.0,1,32.722,stim_maj_1,p_,main,0,0,0,0
81,33.003,523.2511306,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
82,33.501,493.8833013,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
83,33.751,440.0,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
84,34.0,391.995436,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
85,34.762,349.2282314,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
86,34.887,391.995436,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
87,35.012,440.0,17.5,0,0.0,stim_maj_1,p_,main,0,0,1,1
88,36.505,391.995436,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
89,37.005,349.2282314,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
90,37.512,329.6275569,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
91,38.011,293.6647679,17.5,0,0.0,stim_maj_1,p_,main,1,1,0,1
92,38.511,391.995436,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
93,39.008,329.6275569,1.0,0,0.0,stim_maj_1,p_,main,0,0,1,1
94,39.508,261.6255653,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
95,40.005,261.6255653,1.0,0,0.0,stim_maj_1,p_,main,0,1,0,1
96,40.502,391.995436,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
97,41.002,329.6275569,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
98,41.513,261.6255653,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
99,42.013,440.0,1.0,0,0.0,stim_maj_1,p_,main,1,0,0,1
100,42.513,349.2282314,1.0,1,42.654,stim_maj_1,p_,main,0,0,0,0
101,43.01,391.995436,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
102,44.009,391.995436,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
103,44.256,349.2282314,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
104,44.506,329.6275569,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
105,44.756,349.2282314,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
106,45.006,391.995436,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
107,45.256,440.0,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
108,45.506,493.8833013,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
109,45.753,391.995436,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
110,46.014,523.2511306,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
111,46.264,587.3295358,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
112,46.514,659.2551138,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
113,46.764,783.990872,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
114,47.01,523.2511306,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
115,48.007,246.9416506,-17.5,0,0.0,stim_maj_1,p_,main,0,1,1,1
116,48.504,261.6255653,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
117,49.003,293.6647679,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
118,50.013,195.997718,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
119,50.509,220.0,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
120,50.759,246.9416506,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
121,51.009,261.6255653,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
122,51.502,293.6647679,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
123,51.752,329.6275569,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
124,52.003,349.2282314,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
125,52.51,329.6275569,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
126,53.006,293.6647679,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
127,53.506,329.6275569,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
128,53.751,293.6647679,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
129,54.003,261.6255653,-17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
130,56.504,523.2511306,1.0,0,0.0,stim_maj_1,p_,main,1,1,1,1
131,57.004,523.2511306,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,0
132,57.503,523.2511306,1.0,1,57.628,stim_maj_1,p_,main,0,0,0,0
133,58.0,349.2282314,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
134,59.011,440.0,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
135,60.504,293.6647679,1.0,0,0.0,stim_maj_1,p_,main,0,0,0,1
136,61.004,391.995436,17.5,0,0.0,stim_maj_1,p_,main,0,0,1,1
137,61.504,349.2282314,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
138,62.001,329.6275569,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,1
139,63.014,261.6255653,17.5,0,0.0,stim_maj_1,p_,main,0,0,0,0
