,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.513,349.2282314,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
1,1.013,587.3295358,1.0,0,0.0,stim_maj_1,p_,melody,0,0,1,1
2,1.51,440.0,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
3,2.01,783.990872,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,1
4,2.757,293.6647679,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
5,2.882,493.8833013,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
6,3.007,493.8833013,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,1
7,3.507,261.6255653,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
8,4.006,329.6275569,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,1
9,4.506,329.6275569,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
10,5.25,659.2551138,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
11,5.5,440.0,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
12,5.752,293.6647679,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
13,6.002,195.997718,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,1
14,6.252,329.6275569,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
15,6.513,329.6275569,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
16,6.763,293.6647679,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
17,7.011,261.6255653,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,1
18,8.507,391.995436,17.5,0,0.0,stim_maj_1,p_,melody,0,1,1,1
19,9.003,391.995436,17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
20,9.265,587.3295358,17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
21,9.515,329.6275569,17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
22,9.765,220.0,17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
23,10.015,391.995436,17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
24,10.515,391.995436,17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
25,11.009,246.9416506,17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
26,11.506,329.6275569,17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
27,11.756,329.6275569,17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
28,12.006,440.0,17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
29,12.503,523.2511306,17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
30,13.003,440.0,1.0,0,0.0,stim_maj_1,p_,melody,0,0,1,1
31,13.513,293.6647679,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
32,14.012,391.995436,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,1
33,14.512,349.2282314,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
34,15.008,523.2511306,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,1
35,16.005,261.6255653,1.0,0,0.0,stim_maj_1,p_,melody,1,1,0,1
36,16.127,349.2282314,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
37,16.252,349.2282314,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
38,16.376,391.995436,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
39,16.514,523.2511306,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
40,16.639,349.2282314,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
41,16.764,349.2282314,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
42,16.889,493.8833013,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
43,17.014,587.3295358,1.0,1,17.339,stim_maj_1,p_,melody,0,0,0,1
44,17.757,440.0,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
45,18.007,391.995436,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,1
46,18.757,329.6275569,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
47,19.004,349.2282314,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,1
48,19.751,349.2282314,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
49,20.014,329.6275569,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,1
50,20.76,261.6255653,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
51,21.01,523.2511306,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,1
52,21.507,329.6275569,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
53,22.007,349.2282314,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,1
54,22.257,349.2282314,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
55,22.507,329.6275569,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
56,22.757,329.6275569,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
57,23.004,261.6255653,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,1
58,24.0,391.995436,-17.5,0,0.0,stim_maj_1,p_,melody,1,1,1,1
59,24.25,261.6255653,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
60,24.513,293.6647679,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
61,24.763,293.6647679,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
62,25.013,293.6647679,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
63,25.263,391.995436,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
64,25.51,391.995436,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
65,25.76,293.6647679,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
66,26.011,349.2282314,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
67,26.501,349.2282314,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
68,27.504,391.995436,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
69,27.751,391.995436,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
70,28.001,349.2282314,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
71,28.514,391.995436,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
72,29.014,523.2511306,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
73,30.01,293.6647679,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
74,30.26,391.995436,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
75,30.51,195.997718,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
76,30.759,440.0,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
77,31.009,329.6275569,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
78,31.507,391.995436,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
79,32.003,523.2511306,-17.5,0,0.0,stim_maj_1,p_,melody,1,1,0,1
80,32.507,261.6255653,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
81,33.007,349.2282314,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
82,33.507,261.6255653,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
83,33.757,440.0,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
84,34.004,329.6275569,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
85,34.754,440.0,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
86,34.879,261.6255653,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
87,35.004,391.995436,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
88,36.501,329.6275569,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
89,37.001,293.6647679,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
90,37.513,329.6275569,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
91,38.028,293.6647679,1.0,0,0.0,stim_maj_1,p_,melody,1,1,1,1
92,38.513,440.0,1.0,1,38.856,stim_maj_1,p_,melody,0,0,0,0
93,39.013,523.2511306,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,1
94,39.5,261.6255653,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
95,40.028,261.6255653,17.5,0,0.0,stim_maj_1,p_,melody,0,1,1,1
96,40.511,391.995436,17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
97,41.007,440.0,17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
98,41.504,349.2282314,17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
99,42.004,493.8833013,17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
100,42.502,329.6275569,17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
101,43.002,293.6647679,1.0,1,43.545,stim_maj_1,p_,melody,1,0,1,1
102,44.01,440.0,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,1
103,44.257,391.995436,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
104,44.507,329.6275569,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
105,44.753,493.8833013,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
106,45.003,349.2282314,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,1
107,45.253,293.6647679,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
108,45.503,261.6255653,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
109,45.753,293.6647679,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
110,46.003,391.995436,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,1
111,46.265,369.9944227,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
112,46.515,329.6275569,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
113,46.765,349.2282314,1.0,0,0.0,stim_maj_1,p_,melody,0,0,0,0
114,47.015,523.2511306,-17.5,0,0.0,stim_maj_1,p_,melody,1,0,1,1
115,48.008,246.9416506,-17.5,0,0.0,stim_maj_1,p_,melody,0,1,0,1
116,48.504,349.2282314,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
117,49.001,329.6275569,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
118,50.001,329.6275569,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
119,50.513,329.6275569,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
120,50.763,329.6275569,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
121,51.013,523.2511306,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
122,51.513,349.2282314,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
123,51.76,391.995436,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
124,52.01,659.2551138,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
125,52.507,440.0,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
126,53.005,261.6255653,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,1
127,53.505,293.6647679,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
128,53.752,391.995436,-17.5,0,0.0,stim_maj_1,p_,melody,0,0,0,0
