,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.015,349.2282314,-17.5,0,0.0,stim_min_1,p_,melody,0,0,0,0
1,0.257,311.1269837,-17.5,0,0.0,stim_min_1,p_,melody,0,0,0,0
2,0.507,311.1269837,-17.5,0,0.0,stim_min_1,p_,melody,0,0,0,0
3,1.004,246.9416506,1.0,0,0.0,stim_min_1,p_,melody,1,0,1,1
4,1.504,311.1269837,1.0,1,1.816,stim_min_1,p_,melody,0,0,0,0
5,2.004,493.8833013,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,1
6,2.254,349.2282314,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,0
7,2.501,369.9944227,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,0
8,3.001,293.6647679,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,1
9,3.501,391.995436,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,0
10,4.0,261.6255653,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,1
11,4.25,349.2282314,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,0
12,4.513,523.2511306,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,0
13,5.013,293.6647679,17.5,0,0.0,stim_min_1,p_,melody,1,0,1,1
14,5.51,415.3046976,17.5,0,0.0,stim_min_1,p_,melody,0,0,0,0
15,5.76,293.6647679,17.5,0,0.0,stim_min_1,p_,melody,0,0,0,0
16,6.01,261.6255653,17.5,0,0.0,stim_min_1,p_,melody,0,0,0,1
17,6.26,311.1269837,17.5,0,0.0,stim_min_1,p_,melody,0,0,0,0
18,6.506,415.3046976,17.5,0,0.0,stim_min_1,p_,melody,0,0,0,0
19,7.006,311.1269837,17.5,0,0.0,stim_min_1,p_,melody,0,0,0,1
20,8.0,261.6255653,1.0,0,0.0,stim_min_1,p_,melody,0,1,1,1
21,9.009,493.8833013,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,1
22,10.5,587.3295358,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,0
23,11.013,391.995436,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,1
24,11.513,311.1269837,-17.5,0,0.0,stim_min_1,p_,melody,0,0,1,1
25,12.009,261.6255653,-17.5,0,0.0,stim_min_1,p_,melody,0,0,0,1
26,12.509,293.6647679,-17.5,0,0.0,stim_min_1,p_,melody,0,0,0,0
27,13.006,293.6647679,-17.5,0,0.0,stim_min_1,p_,melody,0,0,0,1
28,13.503,391.995436,-17.5,0,0.0,stim_min_1,p_,melody,0,0,0,0
29,14.003,523.2511306,-17.5,0,0.0,stim_min_1,p_,melody,0,0,0,1
30,15.012,261.6255653,-17.5,0,0.0,stim_min_1,p_,melody,0,0,0,1
31,16.006,391.995436,-17.5,0,0.0,stim_min_1,p_,melody,0,1,0,1
32,17.002,391.995436,-17.5,0,0.0,stim_min_1,p_,melody,0,0,0,1
33,18.002,261.6255653,-17.5,0,0.0,stim_min_1,p_,melody,0,0,0,1
34,19.011,246.9416506,1.0,0,0.0,stim_min_1,p_,melody,0,0,1,1
35,20.008,246.9416506,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,1
36,21.004,440.0,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,1
37,22.001,349.2282314,1.0,0,0.0,stim_min_1,p_,melody,1,0,0,1
38,23.014,311.1269837,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,1
39,24.507,391.995436,1.0,0,0.0,stim_min_1,p_,melody,1,1,0,1
40,25.007,349.2282314,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,0
41,25.512,391.995436,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,0
42,26.012,523.2511306,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,1
43,27.008,195.997718,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,1
44,28.514,311.1269837,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,1
45,28.764,261.6255653,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,0
46,29.014,391.995436,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,1
47,29.511,293.6647679,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,0
48,29.761,391.995436,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,0
49,30.011,311.1269837,17.5,1,30.82,stim_min_1,p_,melody,1,0,1,1
50,31.007,261.6255653,17.5,0,0.0,stim_min_1,p_,melody,0,0,0,1
51,32.004,261.6255653,1.0,0,0.0,stim_min_1,p_,melody,1,1,1,1
52,33.001,311.1269837,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,1
53,33.514,349.2282314,1.0,0,0.0,stim_min_1,p_,melody,0,0,0,0
