,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.515,293.6647679,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
1,1.012,493.8833013,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,1
2,1.512,391.995436,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
3,2.009,293.6647679,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,1
4,2.75,329.6275569,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
5,2.885,293.6647679,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
6,3.01,391.995436,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,1
7,3.507,329.6275569,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
8,4.004,391.995436,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,1
9,4.504,261.6255653,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
10,5.254,329.6275569,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
11,5.504,293.6647679,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
12,5.751,440.0,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
13,6.001,293.6647679,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,1
14,6.251,391.995436,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
15,6.501,391.995436,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
16,6.751,440.0,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
17,7.001,261.6255653,-17.5,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,1
18,8.513,391.995436,1.0,0,0.0,stim_maj_1,p_Aaron,melody,0,1,1,1
19,9.015,195.997718,1.0,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
20,9.265,391.995436,1.0,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
21,9.515,349.2282314,1.0,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
22,9.764,293.6647679,1.0,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
23,10.011,440.0,1.0,0,0.0,stim_maj_1,p_Aaron,melody,1,0,0,1
24,10.508,440.0,1.0,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
25,11.008,523.2511306,1.0,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,1
26,11.504,523.2511306,1.0,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
27,11.751,349.2282314,1.0,0,0.0,stim_maj_1,p_Aaron,melody,0,0,0,0
