,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
1,0.266,493.8833013,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
2,0.512,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
3,1.013,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
4,1.51,415.3046976,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
5,2.006,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
6,2.256,493.8833013,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
7,2.506,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
8,3.005,587.3295358,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
9,3.513,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
10,4.009,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
11,4.259,493.8833013,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
12,4.509,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
13,5.005,587.3295358,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
14,5.505,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
15,5.751,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
16,6.001,415.3046976,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
17,6.251,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
18,6.501,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
19,7.002,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
20,8.014,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,main,1,1,1,1
21,9.01,391.995436,1.0,1,9.307,stim_min_1,p_Aaron,main,0,0,0,1
22,10.503,415.3046976,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
23,11.003,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
24,11.513,349.2282314,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
25,12.01,311.1269837,17.5,0,0.0,stim_min_1,p_Aaron,main,1,0,1,1
26,12.51,349.2282314,17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
27,13.006,391.995436,17.5,1,13.069,stim_min_1,p_Aaron,main,0,0,0,1
28,13.506,293.6647679,17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
29,14.003,246.9416506,17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
30,15.005,261.6255653,17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
31,16.006,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,main,0,1,1,1
32,17.003,415.3046976,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
33,18.003,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
34,19.011,369.9944227,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
35,20.008,493.8833013,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
36,21.0,523.2511306,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
37,22.0,349.2282314,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
38,23.012,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
39,24.502,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,main,1,1,0,1
40,25.002,415.3046976,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
41,25.502,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
42,26.002,246.9416506,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
43,27.013,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
44,28.507,293.6647679,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
45,28.757,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
46,29.004,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,main,1,0,1,1
47,29.503,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
48,29.753,293.6647679,-17.5,1,29.878,stim_min_1,p_Aaron,main,0,0,0,0
49,30.003,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
50,31.016,261.6255653,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
51,32.012,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,main,1,1,1,1
52,33.009,246.9416506,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
53,33.505,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
54,33.755,293.6647679,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
55,34.005,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
56,34.505,293.6647679,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
57,35.002,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
58,35.5,369.9944227,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
59,36.013,391.995436,17.5,0,0.0,stim_min_1,p_Aaron,main,1,0,1,1
60,36.513,233.0818808,17.5,1,36.869,stim_min_1,p_Aaron,main,0,0,0,0
61,37.0,261.6255653,17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
62,37.513,261.6255653,17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
63,38.013,293.6647679,17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
64,38.513,293.6647679,17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
65,39.01,195.997718,17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
66,40.007,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,main,0,1,1,1
67,40.504,293.6647679,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
68,41.0,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
69,41.514,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
70,41.765,293.6647679,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
71,42.016,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
72,42.5,349.2282314,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
73,43.012,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
74,43.262,349.2282314,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
75,43.512,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
76,43.762,349.2282314,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
77,44.012,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
78,44.51,415.3046976,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
79,45.007,246.9416506,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
80,45.504,195.997718,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
81,46.001,195.997718,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
82,46.252,220.0,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
83,46.502,246.9416506,1.0,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
84,47.013,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,main,1,0,0,1
85,48.055,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,1,1,1
86,48.501,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
87,49.001,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
88,49.513,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
89,50.009,261.6255653,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
90,50.509,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
91,51.001,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
92,51.255,293.6647679,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
93,51.501,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
94,52.514,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
95,52.764,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
96,53.014,293.6647679,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
97,53.51,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
98,54.007,261.6255653,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,1
99,54.505,246.9416506,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
100,55.511,261.6255653,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
101,56.011,261.6255653,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,1,0,1
102,56.168,293.6647679,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
103,56.34,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
104,56.508,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
105,56.68,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
106,56.836,293.6647679,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
107,57.008,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,main,1,0,0,1
108,57.18,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
109,57.337,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
110,57.509,415.3046976,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
111,57.681,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,main,0,0,0,0
