,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,415.3046976,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
1,0.266,246.9416506,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
2,0.516,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
3,1.015,246.9416506,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
4,1.515,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
5,2.012,293.6647679,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
6,2.262,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
7,2.512,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
8,3.009,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,melody,1,0,0,1
9,3.509,415.3046976,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
10,4.009,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
11,4.255,246.9416506,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
12,4.502,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
13,5.015,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
14,5.512,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
15,5.762,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
16,6.009,261.6255653,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
17,6.259,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
18,6.509,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
19,7.008,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
20,8.008,261.6255653,-17.5,0,0.0,stim_min_1,p_Aaron,melody,1,1,0,1
21,9.004,493.8833013,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
22,10.515,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
23,11.015,293.6647679,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
24,11.508,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
25,12.008,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
26,12.505,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
27,13.001,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
28,13.502,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
29,14.001,349.2282314,1.0,1,14.601,stim_min_1,p_Aaron,melody,1,0,1,1
30,15.007,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
31,16.003,391.995436,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,1,1,1
32,17.013,391.995436,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
33,18.013,440.0,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
34,19.006,311.1269837,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
35,20.004,293.6647679,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
36,21.014,391.995436,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
37,22.013,391.995436,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
38,23.007,311.1269837,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
39,24.503,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,1,1,1
40,25.0,523.2511306,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
41,25.5,523.2511306,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
42,26.016,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
43,27.0,293.6647679,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
44,28.505,493.8833013,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
45,28.755,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
46,29.005,246.9416506,-17.5,0,0.0,stim_min_1,p_Aaron,melody,1,0,1,1
47,29.502,311.1269837,-17.5,1,29.533,stim_min_1,p_Aaron,melody,0,0,0,0
48,29.752,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
49,30.002,349.2282314,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
50,31.015,261.6255653,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
51,32.008,261.6255653,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,1,0,1
52,33.003,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
53,33.515,293.6647679,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
54,33.765,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
55,34.015,493.8833013,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
56,34.512,293.6647679,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
57,35.008,369.9944227,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
58,35.503,523.2511306,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
59,36.003,246.9416506,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
60,36.513,587.3295358,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
61,37.013,415.3046976,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
62,37.509,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
63,38.009,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
64,38.509,261.6255653,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
65,39.006,195.997718,-17.5,0,0.0,stim_min_1,p_Aaron,melody,1,0,0,1
66,40.003,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,1,1,1
67,40.515,261.6255653,1.0,1,40.624,stim_min_1,p_Aaron,melody,0,0,0,0
68,41.015,293.6647679,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
69,41.514,415.3046976,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
70,41.764,349.2282314,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
71,42.014,493.8833013,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
72,42.514,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
73,43.011,311.1269837,17.5,0,0.0,stim_min_1,p_Aaron,melody,1,0,1,1
74,43.261,195.997718,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
75,43.51,493.8833013,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
76,43.757,293.6647679,17.5,1,43.789,stim_min_1,p_Aaron,melody,0,0,0,0
77,44.007,311.1269837,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
78,44.504,293.6647679,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
79,45.004,261.6255653,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
80,45.504,293.6647679,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
81,46.004,293.6647679,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
82,46.254,349.2282314,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
83,46.5,311.1269837,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
84,47.015,261.6255653,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
85,48.012,391.995436,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,1,0,1
86,48.509,349.2282314,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
87,49.008,349.2282314,1.0,0,0.0,stim_min_1,p_Aaron,melody,1,0,1,1
88,49.508,293.6647679,1.0,1,49.633,stim_min_1,p_Aaron,melody,0,0,0,0
89,50.005,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
90,50.505,233.0818808,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
91,51.005,523.2511306,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
92,51.252,415.3046976,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
93,51.514,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
94,52.508,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
95,52.758,466.1637615,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
96,53.008,261.6255653,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,1,1
97,53.509,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
98,54.005,311.1269837,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
99,54.505,391.995436,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
100,55.502,261.6255653,-17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
101,56.002,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,melody,1,1,1,1
102,56.17,261.6255653,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
103,56.342,293.6647679,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
104,56.511,195.997718,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
105,56.667,415.3046976,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
106,56.839,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
107,57.011,261.6255653,1.0,1,57.073,stim_min_1,p_Aaron,melody,0,0,0,1
108,57.167,349.2282314,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
109,57.339,415.3046976,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
110,57.511,293.6647679,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
111,57.667,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
112,57.839,415.3046976,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
113,58.007,391.995436,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,1,1
114,58.5,369.9944227,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
115,59.0,587.3295358,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
116,59.512,391.995436,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
117,60.012,220.0,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
118,60.509,349.2282314,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
119,61.005,261.6255653,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,1
120,61.505,246.9416506,17.5,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
121,62.014,391.995436,1.0,0,0.0,stim_min_1,p_Aaron,melody,1,0,1,1
122,62.342,311.1269837,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
123,62.67,391.995436,1.0,1,62.795,stim_min_1,p_Aaron,melody,0,0,0,0
124,63.014,349.2282314,1.0,0,0.0,stim_min_1,p_Aaron,melody,0,0,0,0
