,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.512,391.995436,-17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
1,1.012,261.6255653,-17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
2,1.512,440.0,-17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
3,2.008,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,melody,1,0,1,1
4,2.754,440.0,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
5,2.879,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
6,3.004,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
7,3.504,329.6275569,1.0,1,3.582,stim_maj_1,p_Eddie,melody,0,0,0,0
8,4.004,293.6647679,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
9,4.512,261.6255653,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
10,5.262,246.9416506,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
11,5.512,493.8833013,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
12,5.762,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
13,6.012,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
14,6.262,523.2511306,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
15,6.512,440.0,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
16,6.758,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
17,7.006,261.6255653,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
18,8.503,391.995436,17.5,0,0.0,stim_maj_1,p_Eddie,melody,1,1,1,1
19,9.015,349.2282314,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
20,9.265,293.6647679,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
21,9.512,349.2282314,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
22,9.762,440.0,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
23,10.008,391.995436,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
24,10.508,293.6647679,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
25,11.006,440.0,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
26,11.502,261.6255653,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
27,11.752,391.995436,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
28,12.015,261.6255653,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
29,12.511,349.2282314,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
30,13.008,391.995436,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
31,13.507,349.2282314,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
32,14.003,349.2282314,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
33,14.503,349.2282314,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
34,15.0,523.2511306,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
35,16.009,261.6255653,17.5,0,0.0,stim_maj_1,p_Eddie,melody,1,1,0,1
36,16.134,293.6647679,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
37,16.259,329.6275569,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
38,16.384,440.0,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
39,16.509,783.990872,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
40,16.63,523.2511306,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
41,16.755,329.6275569,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
42,16.88,391.995436,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
43,17.001,391.995436,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
44,17.751,440.0,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
45,18.013,391.995436,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
46,18.759,391.995436,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
47,19.009,329.6275569,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
48,19.755,329.6275569,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
49,20.001,349.2282314,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
50,20.764,329.6275569,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
51,21.014,261.6255653,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
52,21.51,391.995436,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
53,22.01,329.6275569,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
54,22.256,523.2511306,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
55,22.506,440.0,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
56,22.756,261.6255653,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
57,23.006,261.6255653,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
58,24.002,391.995436,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,1,0,1
59,24.252,349.2282314,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
60,24.502,349.2282314,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
61,24.752,391.995436,17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
62,25.016,293.6647679,1.0,0,0.0,stim_maj_1,p_Eddie,melody,1,0,1,1
63,25.266,391.995436,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
64,25.512,261.6255653,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
65,25.756,293.6647679,1.0,1,25.772,stim_maj_1,p_Eddie,melody,0,0,0,0
66,26.006,659.2551138,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
67,26.508,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
68,27.504,440.0,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
69,27.754,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
70,28.004,293.6647679,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
71,28.503,261.6255653,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
72,29.015,261.6255653,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
73,30.009,293.6647679,-17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,1,1
74,30.259,523.2511306,-17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
75,30.509,391.995436,-17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
76,30.759,349.2282314,-17.5,1,30.977,stim_maj_1,p_Eddie,melody,0,0,0,0
77,31.009,493.8833013,-17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
78,31.508,391.995436,-17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
79,32.004,523.2511306,-17.5,0,0.0,stim_maj_1,p_Eddie,melody,1,1,0,1
80,32.504,329.6275569,-17.5,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
81,33.001,293.6647679,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,1,1
82,33.501,329.6275569,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
83,33.763,349.2282314,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,0
84,34.013,523.2511306,1.0,0,0.0,stim_maj_1,p_Eddie,melody,0,0,0,1
