,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
1,0.266,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,1
2,0.387,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
3,0.512,349.2282314,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,1
4,0.762,391.995436,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
5,1.259,349.2282314,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
6,1.759,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,1
7,1.884,440.0,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
8,2.384,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,1
9,2.881,391.995436,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
10,3.131,440.0,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
11,3.628,391.995436,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
12,3.877,349.2282314,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
13,4.127,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,1
14,4.377,349.2282314,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
15,5.389,329.6275569,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
16,5.889,293.6647679,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
17,6.139,261.6255653,-17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,1
18,7.631,391.995436,1.0,0,0.0,stim_maj_1,p_Johann,rhythm,0,1,1,1
19,8.131,440.0,1.0,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
20,8.381,391.995436,1.0,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
21,8.506,349.2282314,1.0,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
22,9.003,391.995436,1.0,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
23,9.503,659.2551138,1.0,0,0.0,stim_maj_1,p_Johann,rhythm,1,0,0,1
24,9.753,523.2511306,1.0,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
25,10.003,391.995436,1.0,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,1
26,10.515,349.2282314,1.0,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
27,11.012,329.6275569,1.0,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
28,11.755,349.2282314,1.0,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,1
29,12.256,587.3295358,1.0,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
30,13.002,329.6275569,17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,1,1
31,13.252,523.2511306,17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
32,13.752,293.6647679,17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,1
33,14.261,493.8833013,17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
34,14.761,523.2511306,17.5,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,1
35,15.753,261.6255653,1.0,0,0.0,stim_maj_1,p_Johann,rhythm,1,1,1,1
36,15.878,293.6647679,1.0,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
37,16.389,329.6275569,1.0,1,16.53,stim_maj_1,p_Johann,rhythm,0,0,0,0
38,16.639,349.2282314,1.0,0,0.0,stim_maj_1,p_Johann,rhythm,0,0,0,0
