,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
1,1.012,493.8833013,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
2,2.008,523.2511306,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
3,2.179,391.995436,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
4,2.679,415.3046976,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
5,2.836,523.2511306,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
6,3.098,493.8833013,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
7,3.345,523.2511306,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
8,4.839,587.3295358,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
9,5.089,391.995436,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
10,6.086,523.2511306,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
11,6.586,493.8833013,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
12,7.086,523.2511306,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
13,7.584,587.3295358,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
14,7.833,349.2282314,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
15,8.346,391.995436,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
16,8.843,415.3046976,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
17,9.093,391.995436,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
18,9.59,349.2282314,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
19,10.091,311.1269837,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
20,11.088,261.6255653,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,1,0,1
21,12.085,391.995436,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
22,12.594,415.3046976,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
23,13.091,391.995436,1.0,0,0.0,stim_min_1,p_Julian,rhythm,1,0,1,1
24,13.591,349.2282314,1.0,1,13.885,stim_min_1,p_Julian,rhythm,0,0,0,1
25,14.088,311.1269837,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
26,15.087,349.2282314,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
27,15.587,391.995436,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
28,16.084,293.6647679,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
29,17.084,246.9416506,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
30,17.597,261.6255653,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
31,18.59,391.995436,17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,1,1,1
32,19.587,415.3046976,17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
33,19.837,391.995436,1.0,1,20.537,stim_min_1,p_Julian,rhythm,1,0,1,1
34,20.833,369.9944227,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
35,21.346,493.8833013,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
36,21.596,523.2511306,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
37,22.093,349.2282314,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,1,1
38,22.589,311.1269837,-17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
39,24.098,391.995436,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,1,1,1
40,24.598,415.3046976,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
41,24.754,261.6255653,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
42,25.004,246.9416506,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
43,25.504,261.6255653,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
44,25.676,293.6647679,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
45,25.848,311.1269837,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
46,26.192,349.2282314,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
47,26.676,311.1269837,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
48,27.003,293.6647679,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
49,27.504,311.1269837,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
50,28.004,261.6255653,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
51,29.001,261.6255653,1.0,0,0.0,stim_min_1,p_Julian,rhythm,1,1,0,1
52,30.001,246.9416506,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
53,30.512,261.6255653,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
54,30.669,293.6647679,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
55,31.169,311.1269837,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
56,31.668,293.6647679,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
57,31.918,261.6255653,1.0,0,0.0,stim_min_1,p_Julian,rhythm,1,0,0,1
58,32.931,369.9944227,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
59,33.928,391.995436,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
60,34.428,233.0818808,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
61,34.675,261.6255653,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
62,35.672,261.6255653,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
63,36.172,293.6647679,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
64,36.422,293.6647679,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
65,36.669,195.997718,1.0,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
66,37.681,261.6255653,17.5,0,0.0,stim_min_1,p_Julian,rhythm,1,1,1,1
67,38.181,293.6647679,17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
68,38.676,311.1269837,17.5,1,38.754,stim_min_1,p_Julian,rhythm,0,0,0,1
69,38.926,311.1269837,17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
70,39.424,293.6647679,17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
71,39.674,311.1269837,17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
72,40.173,349.2282314,17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
73,40.67,391.995436,17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
74,41.167,349.2282314,17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
75,41.417,311.1269837,17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
76,41.589,349.2282314,17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
77,41.836,391.995436,17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,1
78,42.336,415.3046976,17.5,0,0.0,stim_min_1,p_Julian,rhythm,0,0,0,0
