,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Rupert,main,0,0,0,0
1,0.266,493.8833013,-17.5,0,0.0,stim_min_1,p_Rupert,main,0,0,0,0
2,0.512,523.2511306,-17.5,0,0.0,stim_min_1,p_Rupert,main,0,0,0,0
3,1.015,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,main,1,0,1,1
4,1.512,415.3046976,1.0,0,0.0,stim_min_1,p_Rupert,main,0,0,0,0
5,2.012,523.2511306,1.0,1,2.028,stim_min_1,p_Rupert,main,0,0,0,1
6,2.25,493.8833013,1.0,0,0.0,stim_min_1,p_Rupert,main,0,0,0,0
7,2.509,523.2511306,1.0,0,0.0,stim_min_1,p_Rupert,main,0,0,0,0
8,3.009,587.3295358,1.0,0,0.0,stim_min_1,p_Rupert,main,0,0,0,1
9,3.506,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,main,0,0,0,0
10,4.006,523.2511306,1.0,0,0.0,stim_min_1,p_Rupert,main,0,0,0,1
11,4.256,493.8833013,1.0,0,0.0,stim_min_1,p_Rupert,main,0,0,0,0
12,4.506,523.2511306,1.0,0,0.0,stim_min_1,p_Rupert,main,0,0,0,0
13,5.006,587.3295358,1.0,0,0.0,stim_min_1,p_Rupert,main,0,0,0,1
14,5.506,349.2282314,1.0,0,0.0,stim_min_1,p_Rupert,main,0,0,0,0
15,5.753,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,main,0,0,0,0
16,6.009,415.3046976,1.0,0,0.0,stim_min_1,p_Rupert,main,0,0,0,1
17,6.259,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,main,0,0,0,0
18,6.509,349.2282314,1.0,0,0.0,stim_min_1,p_Rupert,main,0,0,0,0
19,7.006,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,main,0,0,0,1
20,8.014,261.6255653,17.5,0,0.0,stim_min_1,p_Rupert,main,1,1,1,1
21,9.01,391.995436,17.5,0,0.0,stim_min_1,p_Rupert,main,0,0,0,1
22,10.501,415.3046976,17.5,0,0.0,stim_min_1,p_Rupert,main,0,0,0,0
23,11.002,391.995436,17.5,0,0.0,stim_min_1,p_Rupert,main,0,0,0,1
24,11.514,349.2282314,17.5,0,0.0,stim_min_1,p_Rupert,main,1,0,0,1
25,12.011,311.1269837,17.5,0,0.0,stim_min_1,p_Rupert,main,0,0,0,1
