,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
1,0.516,493.8833013,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
2,0.762,523.2511306,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
3,1.262,391.995436,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
4,1.762,415.3046976,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
5,2.262,523.2511306,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
6,2.512,493.8833013,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
7,3.009,523.2511306,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
8,3.181,587.3295358,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
9,3.681,391.995436,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
10,3.932,523.2511306,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
11,4.182,493.8833013,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
12,4.338,523.2511306,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
13,4.847,587.3295358,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
14,5.175,349.2282314,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
15,5.675,391.995436,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
16,5.925,415.3046976,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
17,6.425,391.995436,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
18,6.925,349.2282314,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
19,7.422,311.1269837,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
20,8.421,261.6255653,1.0,1,9.12,stim_min_1,p_Simon,rhythm,1,1,1,1
21,9.417,391.995436,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
22,9.93,415.3046976,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
23,10.179,391.995436,17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,1,1
24,10.679,349.2282314,17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
25,11.176,311.1269837,1.0,0,0.0,stim_min_1,p_Simon,rhythm,1,0,1,1
26,11.426,349.2282314,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
27,11.75,391.995436,1.0,1,11.797,stim_min_1,p_Simon,rhythm,0,0,0,1
28,12.001,293.6647679,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
29,13.014,246.9416506,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
30,13.51,261.6255653,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,1,0,1,1
31,14.504,391.995436,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,1,0,1
32,15.51,415.3046976,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
33,16.007,391.995436,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
34,16.507,369.9944227,1.0,0,0.0,stim_min_1,p_Simon,rhythm,1,0,1,1
35,16.755,493.8833013,1.0,1,16.927,stim_min_1,p_Simon,rhythm,0,0,0,1
36,17.252,523.2511306,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
37,17.513,349.2282314,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
38,18.51,311.1269837,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
39,20.001,391.995436,1.0,0,0.0,stim_min_1,p_Simon,rhythm,1,1,0,1
40,20.501,415.3046976,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
41,20.751,261.6255653,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
42,20.923,246.9416506,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
43,21.17,261.6255653,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
44,21.513,293.6647679,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
45,21.761,311.1269837,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
46,21.917,349.2282314,17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,1,1
47,22.167,311.1269837,17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
48,22.68,293.6647679,17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
49,22.929,311.1269837,17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
50,23.429,261.6255653,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,1,1
51,24.426,261.6255653,1.0,1,24.745,stim_min_1,p_Simon,rhythm,1,1,0,1
52,25.42,246.9416506,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
53,26.417,261.6255653,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
54,26.929,293.6647679,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
55,27.178,311.1269837,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
56,28.174,293.6647679,1.0,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
57,28.671,261.6255653,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,1,1
58,29.168,369.9944227,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
59,29.418,391.995436,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
60,29.93,233.0818808,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,0
61,30.427,261.6255653,-17.5,0,0.0,stim_min_1,p_Simon,rhythm,0,0,0,1
