,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.512,261.6255653,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
1,1.009,293.6647679,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,1
2,1.509,329.6275569,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
3,2.006,349.2282314,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,1
4,2.756,391.995436,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
5,2.881,349.2282314,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
6,3.006,329.6275569,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,1
7,3.503,440.0,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
8,4.002,293.6647679,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,1
9,4.515,391.995436,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
10,5.265,440.0,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
11,5.515,391.995436,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
12,5.765,349.2282314,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
13,6.015,329.6275569,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,1
14,6.251,349.2282314,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
15,6.512,329.6275569,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
16,6.762,293.6647679,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
17,7.012,261.6255653,-17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,1
18,8.508,391.995436,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,1,1,1,1
19,9.008,440.0,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
20,9.258,391.995436,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
21,9.505,349.2282314,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
22,9.755,391.995436,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
23,10.005,659.2551138,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,1
24,10.515,523.2511306,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
25,11.014,391.995436,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,1
26,11.511,349.2282314,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
27,11.761,329.6275569,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
28,12.011,349.2282314,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,1
29,12.507,587.3295358,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
30,13.003,329.6275569,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,1
31,13.515,523.2511306,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
32,14.01,293.6647679,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,1
33,14.523,493.8833013,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
34,15.004,523.2511306,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,1
35,16.001,261.6255653,17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,1,1,1,1
36,16.126,293.6647679,17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
37,16.251,329.6275569,17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
38,16.376,349.2282314,17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
39,16.501,329.6275569,17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
40,16.638,293.6647679,17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
41,16.763,329.6275569,17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
42,16.888,261.6255653,17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
43,17.01,440.0,17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,1
44,17.76,440.0,17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
45,18.0,391.995436,17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,1
46,18.765,349.2282314,17.5,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
47,19.015,329.6275569,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,1,1
48,19.761,349.2282314,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
49,20.011,329.6275569,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,1
50,20.759,293.6647679,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
51,21.009,261.6255653,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,1
52,21.506,195.997718,1.0,0,0,stim_maj_1,part_01,main,2024-04-08,15-21-52,0,0,0,0
