,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.515,523.2511306,-17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
1,1.015,440.0,-17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,1
2,1.515,440.0,-17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
3,2.015,261.6255653,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,1,0,1,1
4,2.762,329.6275569,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
5,2.887,293.6647679,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
6,3.012,493.8833013,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,1
7,3.511,440.0,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
8,4.011,523.2511306,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,1
9,4.511,293.6647679,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
10,5.255,440.0,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
11,5.505,293.6647679,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
12,5.751,329.6275569,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
13,6.001,523.2511306,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,1
14,6.264,440.0,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
15,6.514,329.6275569,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
16,6.764,349.2282314,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
17,7.014,261.6255653,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,1
18,8.505,391.995436,17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,1,1,1,1
19,9.015,440.0,17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
20,9.261,391.995436,17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
21,9.511,349.2282314,17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
22,9.754,329.6275569,17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
23,10.004,493.8833013,17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,1
24,10.501,349.2282314,17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
25,11.013,329.6275569,17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,1
26,11.509,329.6275569,17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
27,11.751,349.2282314,17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
28,12.001,329.6275569,17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,1
29,12.501,329.6275569,17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
30,13.007,293.6647679,17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,1
31,13.504,391.995436,17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
32,14.008,523.2511306,17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,1
33,14.504,391.995436,17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
34,15.005,523.2511306,17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,1
35,16.015,261.6255653,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,1,1,1,1
36,16.14,329.6275569,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
37,16.265,391.995436,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
38,16.39,391.995436,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
39,16.515,329.6275569,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
40,16.64,261.6255653,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
41,16.765,493.8833013,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
42,16.89,329.6275569,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
43,17.015,293.6647679,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,1
44,17.758,349.2282314,1.0,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
45,18.008,440.0,-17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,1,1
46,18.755,293.6647679,-17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
47,19.005,391.995436,-17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,1
48,19.752,293.6647679,-17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
49,20.014,349.2282314,-17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,1
50,20.761,261.6255653,-17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
51,21.011,391.995436,-17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,1
52,21.508,195.997718,-17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
53,22.005,329.6275569,-17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,1
54,22.255,329.6275569,-17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
55,22.515,293.6647679,-17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
56,22.765,391.995436,-17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,0
57,23.015,261.6255653,-17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,0,0,0,1
58,24.011,391.995436,-17.5,0,0,stim_maj_1,part_01,melody,2024-04-08,15-16-56,1,1,0,1
