,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,0
1,0.501,293.6647679,-17.5,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,1
2,1.014,329.6275569,-17.5,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,0
3,1.264,349.2282314,-17.5,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,1
4,1.761,391.995436,-17.5,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,0
5,2.258,349.2282314,-17.5,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,0
6,2.508,329.6275569,1.0,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,1,0,1,1
7,2.758,440.0,1.0,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,0
8,3.258,293.6647679,1.0,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,1
9,3.754,391.995436,1.0,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,0
10,4.001,440.0,1.0,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,0
11,5.012,391.995436,1.0,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,0
12,5.262,349.2282314,1.0,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,0
13,5.511,329.6275569,17.5,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,1,0,1,1
14,5.758,349.2282314,17.5,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,0
15,6.008,329.6275569,17.5,1,6.302,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,0
16,6.505,293.6647679,17.5,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,0
17,6.755,261.6255653,17.5,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,1
18,8.251,391.995436,1.0,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,1,1,1,1
19,8.751,440.0,1.0,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,0
20,9.264,391.995436,1.0,1,9.279,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,0
21,9.389,349.2282314,1.0,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,0
22,9.639,391.995436,1.0,0,0.0,stim_maj_1,part_01,rhythm,2024-04-09,13-41-26,0,0,0,0
