,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.016,293.6647679,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,0
1,0.266,349.2282314,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,0
2,0.514,261.6255653,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,0
3,1.014,391.995436,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,1
4,1.514,391.995436,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,0
5,2.014,415.3046976,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,1
6,2.264,311.1269837,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,0
7,2.514,293.6647679,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,0
8,3.011,391.995436,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,1
9,3.511,311.1269837,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,0
10,4.007,311.1269837,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,1
11,4.257,349.2282314,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,0
12,4.504,293.6647679,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,0
13,5.003,415.3046976,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,1
14,5.501,349.2282314,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,0
15,5.752,311.1269837,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,0
16,6.015,349.2282314,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,1
17,6.264,293.6647679,-17.5,0,0.0,stim_min_1,part_01,melody,2024-04-09,13-49-53,0,0,0,0
