,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.015,391.995436,-17.5,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
1,0.5,311.1269837,-17.5,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
2,1.013,261.6255653,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,1,0,1,1
3,1.513,415.3046976,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
4,2.01,415.3046976,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,1
5,2.51,391.995436,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
6,2.884,493.8833013,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
7,3.009,523.2511306,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,1
8,3.509,349.2282314,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
9,4.006,349.2282314,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,1
10,4.506,311.1269837,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
11,4.881,493.8833013,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
12,5.006,523.2511306,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,1
13,5.51,293.6647679,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
14,6.004,311.1269837,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,1
15,6.176,349.2282314,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
16,6.347,391.995436,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
17,6.504,349.2282314,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
18,6.675,311.1269837,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
19,6.847,293.6647679,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
20,7.003,261.6255653,1.0,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,1
21,8.513,391.995436,17.5,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,1,1,1,1
22,9.013,261.6255653,17.5,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
23,9.513,261.6255653,17.5,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
24,10.013,261.6255653,17.5,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,1
25,10.51,415.3046976,17.5,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
26,10.757,349.2282314,17.5,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
27,11.007,246.9416506,17.5,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,1
28,11.507,246.9416506,17.5,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
29,12.003,246.9416506,17.5,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,1
30,12.254,261.6255653,17.5,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
31,12.503,293.6647679,17.5,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
32,12.753,311.1269837,17.5,0,0.0,stim_min_2,part_01,main,2024-04-09,13-52-16,0,0,0,0
