,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,0
1,0.266,311.1269837,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,0
2,0.763,261.6255653,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,1
3,1.012,415.3046976,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,0
4,1.259,415.3046976,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,1
5,1.759,391.995436,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,0
6,2.259,493.8833013,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,0
7,2.506,523.2511306,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,1
8,3.506,349.2282314,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,0
9,4.003,349.2282314,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,1
10,4.5,311.1269837,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,0
11,4.766,493.8833013,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,0
12,5.012,523.2511306,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,1
13,5.262,293.6647679,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,0
14,5.512,311.1269837,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,1
15,7.013,349.2282314,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,0
16,7.263,391.995436,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,0
17,7.513,349.2282314,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,0
18,7.763,311.1269837,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,0
19,8.013,293.6647679,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,0
20,8.259,261.6255653,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,0,0,0,1
21,9.756,391.995436,-17.5,0,0,stim_min_2,part_01,rhythm,2024-04-08,15-13-14,1,1,0,1
