,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-17.5,0,0,stim_maj_2,participant,rhythm,0,0,0,0
1,0.512,440.0,-17.5,0,0,stim_maj_2,participant,rhythm,0,0,0,0
2,1.012,391.995436,-17.5,0,0,stim_maj_2,participant,rhythm,0,0,0,0
3,1.262,349.2282314,-17.5,0,0,stim_maj_2,participant,rhythm,0,0,0,1
4,1.755,349.2282314,-17.5,0,0,stim_maj_2,participant,rhythm,0,0,0,0
5,2.252,329.6275569,-17.5,0,0,stim_maj_2,participant,rhythm,0,0,0,0
6,2.752,349.2282314,-17.5,0,0,stim_maj_2,participant,rhythm,0,0,0,1
7,3.252,440.0,-17.5,0,0,stim_maj_2,participant,rhythm,0,0,0,0
8,4.76,293.6647679,-17.5,0,0,stim_maj_2,participant,rhythm,0,0,0,1
9,5.26,391.995436,-17.5,0,0,stim_maj_2,participant,rhythm,0,0,0,0
10,5.76,349.2282314,-17.5,0,0,stim_maj_2,participant,rhythm,0,0,0,0
11,6.257,329.6275569,-17.5,0,0,stim_maj_2,participant,rhythm,0,0,0,1
12,6.507,329.6275569,-17.5,0,0,stim_maj_2,participant,rhythm,0,0,0,0
13,6.756,293.6647679,-17.5,0,0,stim_maj_2,participant,rhythm,0,0,0,0
14,7.006,329.6275569,-17.5,0,0,stim_maj_2,participant,rhythm,0,0,0,1
15,7.256,261.6255653,-17.5,0,0,stim_maj_2,participant,rhythm,0,0,0,0
16,8.253,391.995436,1.0,0,0,stim_maj_2,participant,rhythm,1,1,1,1
17,8.753,329.6275569,1.0,0,0,stim_maj_2,participant,rhythm,0,0,0,0
18,9.015,440.0,1.0,0,0,stim_maj_2,participant,rhythm,0,0,0,0
19,9.265,293.6647679,1.0,0,0,stim_maj_2,participant,rhythm,0,0,0,1
20,9.515,329.6275569,1.0,0,0,stim_maj_2,participant,rhythm,0,0,0,0
21,10.512,349.2282314,1.0,0,0,stim_maj_2,participant,rhythm,0,0,0,0
22,11.505,391.995436,1.0,0,0,stim_maj_2,participant,rhythm,0,0,0,1
