,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,-17.5,0,0,stim_maj_4,participant,main,0,0,0,1
1,0.266,293.6647679,-17.5,0,0,stim_maj_4,participant,main,0,0,0,0
2,0.512,329.6275569,-17.5,0,0,stim_maj_4,participant,main,0,0,0,0
3,0.762,391.995436,-17.5,0,0,stim_maj_4,participant,main,0,0,0,0
4,1.001,261.6255653,-17.5,0,0,stim_maj_4,participant,main,0,0,0,1
5,1.259,329.6275569,-17.5,0,0,stim_maj_4,participant,main,0,0,0,0
6,1.506,391.995436,-17.5,0,0,stim_maj_4,participant,main,0,0,0,0
7,1.756,466.1637615,-17.5,0,0,stim_maj_4,participant,main,0,0,0,0
8,2.004,440.0,1.0,0,0,stim_maj_4,participant,main,0,0,1,1
9,2.253,329.6275569,1.0,0,0,stim_maj_4,participant,main,0,0,0,0
10,2.503,349.2282314,1.0,0,0,stim_maj_4,participant,main,0,0,0,0
11,2.763,440.0,1.0,0,0,stim_maj_4,participant,main,0,0,0,0
12,3.013,261.6255653,1.0,0,0,stim_maj_4,participant,main,0,0,0,1
13,3.263,349.2282314,1.0,0,0,stim_maj_4,participant,main,0,0,0,0
14,3.5,440.0,1.0,0,0,stim_maj_4,participant,main,0,0,0,0
15,3.761,523.2511306,1.0,0,0,stim_maj_4,participant,main,0,0,0,0
16,4.011,493.8833013,17.5,0,0,stim_maj_4,participant,main,1,0,1,1
17,4.257,329.6275569,17.5,0,0,stim_maj_4,participant,main,0,0,0,0
18,4.501,349.2282314,17.5,0,0,stim_maj_4,participant,main,0,0,0,0
19,4.754,493.8833013,17.5,0,0,stim_maj_4,participant,main,0,0,0,0
20,5.004,293.6647679,17.5,0,0,stim_maj_4,participant,main,0,0,0,1
21,5.252,349.2282314,17.5,0,0,stim_maj_4,participant,main,0,0,0,0
22,5.502,493.8833013,17.5,0,0,stim_maj_4,participant,main,0,0,0,0
23,5.764,587.3295358,17.5,0,0,stim_maj_4,participant,main,0,0,0,0
24,6.011,587.3295358,17.5,0,0,stim_maj_4,participant,main,0,0,0,1
25,6.261,493.8833013,17.5,0,0,stim_maj_4,participant,main,0,0,0,0
26,6.511,523.2511306,17.5,0,0,stim_maj_4,participant,main,0,0,0,0
27,6.761,659.2551138,17.5,0,0,stim_maj_4,participant,main,0,0,0,0
28,7.015,391.995436,17.5,0,0,stim_maj_4,participant,main,0,0,0,1
29,7.262,493.8833013,17.5,0,0,stim_maj_4,participant,main,0,0,0,0
30,7.512,523.2511306,17.5,0,0,stim_maj_4,participant,main,0,0,0,0
31,8.008,523.2511306,17.5,0,0,stim_maj_4,participant,main,1,1,0,1
32,8.508,391.995436,17.5,0,0,stim_maj_4,participant,main,0,0,0,0
33,9.006,440.0,17.5,0,0,stim_maj_4,participant,main,0,0,0,1
34,9.503,349.2282314,17.5,0,0,stim_maj_4,participant,main,0,0,0,0
35,10.014,329.6275569,17.5,0,0,stim_maj_4,participant,main,0,0,0,1
36,11.507,349.2282314,17.5,0,0,stim_maj_4,participant,main,0,0,0,1
37,12.003,391.995436,17.5,0,0,stim_maj_4,participant,main,0,0,0,1
