,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
1,0.762,523.2511306,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
2,1.001,311.1269837,-17.5,0,0,stim_min_5,participant,melody,0,0,0,1
3,1.26,391.995436,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
4,1.51,293.6647679,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
5,1.76,622.2539674,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
6,2.01,415.3046976,-17.5,0,0,stim_min_5,participant,melody,0,0,0,1
7,2.26,523.2511306,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
8,2.51,587.3295358,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
9,2.759,391.995436,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
10,3.256,523.2511306,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
11,3.502,698.4564629,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
12,3.752,523.2511306,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
13,4.002,246.9416506,-17.5,0,0,stim_min_5,participant,melody,0,0,0,1
14,4.251,698.4564629,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
15,4.501,523.2511306,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
16,4.751,523.2511306,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
17,5.015,415.3046976,-17.5,0,0,stim_min_5,participant,melody,0,0,0,1
18,5.512,195.997718,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
19,6.261,349.2282314,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
20,6.511,587.3295358,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
21,6.761,587.3295358,-17.5,0,0,stim_min_5,participant,melody,0,0,0,0
22,7.01,523.2511306,-17.5,0,0,stim_min_5,participant,melody,0,0,0,1
23,8.015,523.2511306,-17.5,0,0,stim_min_5,participant,melody,0,1,0,1
24,9.009,622.2539674,-17.5,0,0,stim_min_5,participant,melody,0,0,0,1
25,10.005,349.2282314,-17.5,0,0,stim_min_5,participant,melody,0,0,0,1
