,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes,time_difference,block,condition_number,trial_number,condition_n,trial_n,signal_theory
3,3.012,261.6255653,1.0,0,0.0,test3,sub21,train,2024-04-09,16-44-26,1,1,1,1,-3.012,training,4,4,1,1,miss
7,7.014,311.1269837,17.5,0,0.0,test3,sub21,train,2024-04-09,16-44-26,1,1,1,1,-7.014,training,8,8,1,1,miss
14,14.001,369.9944227,1.0,0,0.0,test3,sub21,train,2024-04-09,16-44-26,1,0,1,1,-14.001,training,15,15,1,1,miss
19,19.038,880.0,-17.5,0,0.0,test3,sub21,train,2024-04-09,16-44-26,1,1,1,1,-19.038,training,20,20,1,1,miss
23,23.014,739.9888454,1.0,0,0.0,test3,sub21,train,2024-04-09,16-44-26,1,1,0,1,-23.014,training,24,24,1,1,corr
27,27.008,391.995436,17.5,0,0.0,test3,sub21,train,2024-04-09,16-44-26,1,1,0,1,-27.008,training,28,28,1,1,corr
30,30.015,277.182631,1.0,0,0.0,test3,sub21,train,2024-04-09,16-44-26,1,0,0,1,-30.015,training,31,31,1,1,corr
35,35.001,523.2511306,-17.5,0,0.0,test3,sub21,train,2024-04-09,16-44-26,1,1,0,1,-35.001,training,36,36,1,1,corr
43,43.002,659.2551138,17.5,0,0.0,test3,sub21,train,2024-04-09,16-44-26,1,1,1,1,-43.002,training,44,44,1,1,miss
51,51.002,311.1269837,17.5,0,0.0,test3,sub21,train,2024-04-09,16-44-26,1,1,0,1,-51.002,training,52,52,1,1,corr
59,3.006,587.3295358,1.0,1,4.127,test2,sub21,train,2024-04-09,16-46-10,1,1,1,1,1.121,training,60,4,1,2,hit
63,7.014,311.1269837,17.5,0,0.0,test2,sub21,train,2024-04-09,16-46-10,1,1,1,1,-7.014,training,64,8,1,2,miss
67,11.006,698.4564629,1.0,0,0.0,test2,sub21,train,2024-04-09,16-46-10,1,1,1,1,-11.006,training,68,12,1,2,miss
70,14.005,783.990872,-17.5,0,0.0,test2,sub21,train,2024-04-09,16-46-10,1,0,1,1,-14.005,training,71,15,1,2,miss
76,20.013,349.2282314,1.0,0,0.0,test2,sub21,train,2024-04-09,16-46-10,1,0,1,1,-20.013,training,77,21,1,2,miss
79,23.0,329.6275569,1.0,1,24.218,test2,sub21,train,2024-04-09,16-46-10,1,1,0,1,1.218,training,80,24,1,2,fa
91,35.003,277.182631,1.0,0,0.0,test2,sub21,train,2024-04-09,16-46-10,1,1,0,1,-35.003,training,92,36,1,2,corr
99,43.001,698.4564629,1.0,1,43.747,test2,sub21,train,2024-04-09,16-46-10,1,1,1,1,0.7460000000000022,training,100,44,1,2,hit
103,47.009,233.0818808,1.0,0,0.0,test2,sub21,train,2024-04-09,16-46-10,1,1,0,1,-47.009,training,104,48,1,2,corr
107,51.013,554.365262,17.5,0,0.0,test2,sub21,train,2024-04-09,16-46-10,1,1,1,1,-51.013,training,108,52,1,2,miss
119,7.014,739.9888454,1.0,1,8.029,test5,sub21,train,2024-04-09,16-47-32,1,1,1,1,1.0149999999999997,training,120,8,1,3,hit
123,11.0,739.9888454,17.5,0,0.0,test5,sub21,train,2024-04-09,16-47-32,1,1,1,1,-11.0,training,124,12,1,3,miss
126,14.011,391.995436,1.0,0,0.0,test5,sub21,train,2024-04-09,16-47-32,1,0,1,1,-14.011,training,127,15,1,3,miss
132,20.01,493.8833013,-17.5,0,0.0,test5,sub21,train,2024-04-09,16-47-32,1,0,0,1,-20.01,training,133,21,1,3,corr
