,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,-17.5,0,0.0,stim_maj_4,sub02,main,0,0,0,1
1,0.266,293.6647679,-17.5,0,0.0,stim_maj_4,sub02,main,0,0,0,0
2,0.513,329.6275569,-17.5,0,0.0,stim_maj_4,sub02,main,0,0,0,0
3,0.762,391.995436,-17.5,0,0.0,stim_maj_4,sub02,main,0,0,0,0
4,1.012,261.6255653,1.0,0,0.0,stim_maj_4,sub02,main,1,0,1,1
5,1.262,329.6275569,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
6,1.512,391.995436,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
7,1.762,466.1637615,1.0,1,1.778,stim_maj_4,sub02,main,0,0,0,0
8,2.012,440.0,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,1
9,2.259,329.6275569,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
10,2.509,349.2282314,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
11,2.759,440.0,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
12,3.009,261.6255653,1.0,0,0.0,stim_maj_4,sub02,main,1,0,0,1
13,3.259,349.2282314,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
14,3.509,440.0,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
15,3.759,523.2511306,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
16,4.006,493.8833013,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,1
17,4.256,329.6275569,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
18,4.506,349.2282314,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
19,4.756,493.8833013,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
20,5.006,293.6647679,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,1
21,5.253,349.2282314,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
22,5.503,493.8833013,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
23,5.75,587.3295358,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
24,6.016,587.3295358,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,1
25,6.266,493.8833013,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
26,6.516,523.2511306,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
27,6.765,659.2551138,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
28,7.015,391.995436,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,1
29,7.262,493.8833013,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
30,7.512,523.2511306,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
31,8.012,523.2511306,1.0,0,0.0,stim_maj_4,sub02,main,1,1,0,1
32,8.509,391.995436,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
33,9.009,440.0,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,1
34,9.506,349.2282314,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
35,10.009,329.6275569,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,1
36,11.505,349.2282314,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,1
37,12.01,391.995436,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,1
38,12.507,293.6647679,1.0,0,0.0,stim_maj_4,sub02,main,0,0,0,0
