,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,0
1,0.516,493.8833013,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,0
2,1.0,523.2511306,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,0
3,2.012,391.995436,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,1
4,2.512,415.3046976,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,0
5,3.509,523.2511306,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,1
6,3.681,493.8833013,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,0
7,4.178,523.2511306,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,0
8,4.678,587.3295358,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,1
9,5.178,391.995436,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,0
10,5.501,523.2511306,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,1
11,6.003,493.8833013,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,0
12,6.253,523.2511306,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,0
13,6.503,587.3295358,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,1
14,7.503,349.2282314,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,0
15,8.515,391.995436,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,0
16,8.671,415.3046976,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,1
17,8.921,391.995436,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,0
18,9.093,349.2282314,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,0
19,9.343,311.1269837,-17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,1
20,10.34,261.6255653,1.0,0,0.0,stim_min_1,sub02,rhythm,0,1,1,1
21,11.339,391.995436,1.0,0,0.0,stim_min_1,sub02,rhythm,0,0,0,1
22,11.589,415.3046976,1.0,0,0.0,stim_min_1,sub02,rhythm,0,0,0,0
23,12.086,391.995436,1.0,0,0.0,stim_min_1,sub02,rhythm,0,0,0,1
24,12.586,349.2282314,1.0,0,0.0,stim_min_1,sub02,rhythm,0,0,0,1
25,13.09,311.1269837,1.0,0,0.0,stim_min_1,sub02,rhythm,0,0,0,1
26,13.59,349.2282314,1.0,0,0.0,stim_min_1,sub02,rhythm,0,0,0,0
27,14.09,391.995436,17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,1,1
28,15.086,293.6647679,17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,0
29,15.586,246.9416506,17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,1
30,16.095,261.6255653,17.5,0,0.0,stim_min_1,sub02,rhythm,0,0,0,1
