,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
1,0.516,311.1269837,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
2,1.015,261.6255653,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
3,1.515,415.3046976,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
4,2.015,415.3046976,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
5,2.515,391.995436,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
6,2.886,493.8833013,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
7,3.011,523.2511306,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
8,3.511,349.2282314,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
9,4.011,349.2282314,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
10,4.509,311.1269837,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
11,4.884,493.8833013,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
12,5.009,523.2511306,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
13,5.509,293.6647679,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
14,6.008,311.1269837,1.0,0,0.0,stim_min_2,sub02,main,1,0,1,1
15,6.18,349.2282314,1.0,0,0.0,stim_min_2,sub02,main,0,0,0,0
16,6.336,391.995436,1.0,0,0.0,stim_min_2,sub02,main,0,0,0,0
17,6.508,349.2282314,1.0,1,6.54,stim_min_2,sub02,main,0,0,0,0
18,6.68,311.1269837,1.0,0,0.0,stim_min_2,sub02,main,0,0,0,0
19,6.836,293.6647679,1.0,0,0.0,stim_min_2,sub02,main,0,0,0,0
20,7.008,261.6255653,1.0,0,0.0,stim_min_2,sub02,main,0,0,0,1
21,8.51,391.995436,17.5,0,0.0,stim_min_2,sub02,main,1,1,1,1
22,9.009,261.6255653,17.5,1,9.291,stim_min_2,sub02,main,0,0,0,0
23,9.509,261.6255653,17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
24,10.006,261.6255653,17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
25,10.506,415.3046976,17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
26,10.756,349.2282314,17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
27,11.007,246.9416506,17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
28,11.507,246.9416506,17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
29,12.007,246.9416506,17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
30,12.257,261.6255653,17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
31,12.504,293.6647679,17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
32,12.758,311.1269837,17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
33,13.008,349.2282314,1.0,0,0.0,stim_min_2,sub02,main,1,0,1,1
34,13.258,311.1269837,1.0,0,0.0,stim_min_2,sub02,main,0,0,0,0
35,13.508,293.6647679,1.0,1,13.739,stim_min_2,sub02,main,0,0,0,0
36,13.755,311.1269837,1.0,0,0.0,stim_min_2,sub02,main,0,0,0,0
37,14.005,349.2282314,1.0,0,0.0,stim_min_2,sub02,main,0,0,0,1
38,14.255,415.3046976,1.0,0,0.0,stim_min_2,sub02,main,0,0,0,0
39,14.501,391.995436,1.0,0,0.0,stim_min_2,sub02,main,0,0,0,0
40,14.751,349.2282314,1.0,0,0.0,stim_min_2,sub02,main,0,0,0,0
41,15.001,311.1269837,-17.5,0,0.0,stim_min_2,sub02,main,0,0,1,1
42,16.013,523.2511306,-17.5,0,0.0,stim_min_2,sub02,main,0,1,0,1
43,16.263,587.3295358,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
44,16.51,493.8833013,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
45,16.76,523.2511306,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
46,17.01,440.0,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
47,17.51,880.0,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
48,18.006,830.6093952,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
49,18.256,880.0,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
50,18.501,739.9888454,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
51,18.754,830.6093952,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
52,19.005,659.2551138,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
53,19.501,880.0,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
54,19.751,659.2551138,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
55,20.001,698.4564629,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
56,20.501,587.3295358,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
57,21.013,391.995436,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
58,21.513,783.990872,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
59,22.009,659.2551138,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
60,22.259,698.4564629,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
61,22.509,587.3295358,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
62,22.756,659.2551138,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
63,23.006,523.2511306,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
64,24.511,261.6255653,-17.5,0,0.0,stim_min_2,sub02,main,1,1,0,1
65,25.008,261.6255653,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
66,25.508,261.6255653,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
67,26.001,293.6647679,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
68,26.506,293.6647679,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
69,27.007,293.6647679,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
70,27.257,311.1269837,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
71,27.504,349.2282314,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
72,27.75,293.6647679,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
73,28.0,311.1269837,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
74,28.5,293.6647679,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
75,28.762,311.1269837,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
76,29.012,261.6255653,-17.5,0,0.0,stim_min_2,sub02,main,1,0,0,1
77,29.512,293.6647679,-17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
78,30.012,311.1269837,1.0,0,0.0,stim_min_2,sub02,main,0,0,1,1
79,30.258,293.6647679,1.0,0,0.0,stim_min_2,sub02,main,0,0,0,0
80,30.508,311.1269837,1.0,0,0.0,stim_min_2,sub02,main,0,0,0,0
81,30.758,349.2282314,1.0,0,0.0,stim_min_2,sub02,main,0,0,0,0
82,31.005,391.995436,1.0,0,0.0,stim_min_2,sub02,main,0,0,0,1
83,32.514,261.6255653,1.0,0,0.0,stim_min_2,sub02,main,0,1,0,1
84,33.011,261.6255653,1.0,0,0.0,stim_min_2,sub02,main,0,0,0,0
85,33.511,261.6255653,1.0,0,0.0,stim_min_2,sub02,main,0,0,0,0
86,34.007,311.1269837,1.0,0,0.0,stim_min_2,sub02,main,1,0,0,1
87,35.504,293.6647679,17.5,0,0.0,stim_min_2,sub02,main,0,0,1,1
88,35.75,261.6255653,17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
89,36.0,293.6647679,17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
90,36.5,195.997718,17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
91,37.012,391.995436,17.5,0,0.0,stim_min_2,sub02,main,0,0,0,1
92,38.506,369.9944227,17.5,0,0.0,stim_min_2,sub02,main,1,0,0,1
93,38.756,440.0,17.5,0,0.0,stim_min_2,sub02,main,0,0,0,0
