,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,1
1,0.262,293.6647679,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
2,0.512,329.6275569,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
3,0.762,391.995436,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
4,1.012,261.6255653,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,1
5,1.26,329.6275569,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
6,1.76,391.995436,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
7,2.01,466.1637615,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
8,2.259,440.0,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,1
9,2.509,329.6275569,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
10,2.759,349.2282314,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
11,3.259,440.0,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
12,3.509,261.6255653,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,1
13,3.759,349.2282314,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
14,4.009,440.0,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
15,5.255,523.2511306,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
16,5.505,493.8833013,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,1
17,6.502,329.6275569,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
18,6.764,349.2282314,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
19,7.264,493.8833013,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
20,7.514,293.6647679,1.0,0,0,stim_maj_4,participant,rhythm,0,0,1,1
21,7.764,349.2282314,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
22,8.76,493.8833013,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
23,9.01,587.3295358,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
24,9.25,587.3295358,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,1
25,9.506,493.8833013,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
26,9.753,523.2511306,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
27,10.003,659.2551138,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
28,10.253,391.995436,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,1
29,10.758,493.8833013,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
30,11.008,523.2511306,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
31,11.508,523.2511306,17.5,0,0,stim_maj_4,participant,rhythm,0,1,1,1
32,12.004,391.995436,17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
33,12.501,440.0,17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,1
34,12.751,349.2282314,17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
35,13.001,329.6275569,17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,1
36,13.764,349.2282314,17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,1
37,13.889,391.995436,17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,1
38,14.139,293.6647679,17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
39,14.635,329.6275569,17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,1
40,14.885,261.6255653,17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
41,15.135,246.9416506,1.0,0,0,stim_maj_4,participant,rhythm,1,0,1,1
42,15.385,293.6647679,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,1
43,15.885,261.6255653,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
44,16.382,391.995436,1.0,0,0,stim_maj_4,participant,rhythm,1,1,0,1
45,16.629,523.2511306,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
46,16.879,493.8833013,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
47,17.129,440.0,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
48,17.378,391.995436,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,1
49,17.64,349.2282314,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
50,17.89,329.6275569,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
51,18.14,293.6647679,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
52,18.383,261.6255653,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,1
53,19.379,261.6255653,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
54,19.629,293.6647679,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
55,19.879,329.6275569,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,1
56,20.129,261.6255653,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
57,20.632,246.9416506,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
58,21.13,261.6255653,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
59,21.627,349.2282314,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,1
60,22.626,293.6647679,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
61,22.889,261.6255653,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
62,23.139,293.6647679,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
63,23.389,329.6275569,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,1
64,23.639,349.2282314,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
65,23.889,329.6275569,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
66,24.139,293.6647679,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
67,24.385,391.995436,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,1,1
68,24.876,329.6275569,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
69,25.133,261.6255653,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
70,25.64,329.6275569,-17.5,0,0,stim_maj_4,participant,rhythm,0,1,0,1
71,26.39,349.2282314,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
72,26.64,349.2282314,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,1
73,26.89,329.6275569,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
74,27.137,349.2282314,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
75,27.387,391.995436,-17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,1
76,27.637,391.995436,1.0,0,0,stim_maj_4,participant,rhythm,0,0,1,1
77,27.887,493.8833013,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
78,28.137,523.2511306,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
79,28.387,440.0,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,1
80,28.637,523.2511306,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
81,28.887,391.995436,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
82,29.134,523.2511306,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
83,29.384,349.2282314,1.0,0,0,stim_maj_4,participant,rhythm,1,0,0,1
84,29.88,329.6275569,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
85,30.13,349.2282314,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
86,30.63,587.3295358,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
87,30.88,349.2282314,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,1
88,31.127,329.6275569,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
89,31.378,293.6647679,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
90,31.878,261.6255653,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
91,32.128,329.6275569,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,1
92,33.14,523.2511306,17.5,0,0,stim_maj_4,participant,rhythm,1,1,1,1
93,34.634,587.3295358,17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
94,34.884,587.3295358,17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,1
95,35.134,523.2511306,17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
96,35.631,587.3295358,17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,0
97,35.881,659.2551138,17.5,0,0,stim_maj_4,participant,rhythm,0,0,0,1
98,36.131,587.3295358,1.0,0,0,stim_maj_4,participant,rhythm,1,0,1,1
99,36.381,659.2551138,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
100,36.627,523.2511306,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,1
101,36.877,391.995436,1.0,0,0,stim_maj_4,participant,rhythm,0,0,0,0
