,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
1,0.262,261.6255653,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
2,0.512,329.6275569,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
3,0.762,391.995436,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
4,1.012,523.2511306,-17.5,0,0,stim_maj_5,participant,main,0,0,0,1
5,1.262,659.2551138,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
6,1.508,783.990872,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
7,1.758,1046.502261,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
8,2.254,1046.502261,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
9,2.504,987.7666025,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
10,2.754,880.0,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
11,3.004,987.7666025,-17.5,0,0,stim_maj_5,participant,main,0,0,0,1
12,3.253,1174.659072,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
13,3.503,783.990872,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
14,3.753,880.0,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
15,4.003,932.327523,-17.5,0,0,stim_maj_5,participant,main,0,0,0,1
16,4.253,783.990872,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
17,4.515,659.2551138,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
18,4.765,523.2511306,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
19,5.015,440.0,-17.5,0,0,stim_maj_5,participant,main,0,0,0,1
20,5.265,523.2511306,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
21,5.515,698.4564629,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
22,5.765,440.0,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
23,6.011,523.2511306,-17.5,0,0,stim_maj_5,participant,main,0,0,0,1
24,6.261,698.4564629,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
25,6.508,659.2551138,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
26,6.758,587.3295358,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
27,7.008,523.2511306,-17.5,0,0,stim_maj_5,participant,main,0,0,0,1
28,7.257,587.3295358,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
29,7.508,523.2511306,-17.5,0,0,stim_maj_5,participant,main,0,0,0,0
30,8.008,261.6255653,1.0,0,0,stim_maj_5,participant,main,1,1,1,1
31,8.501,246.9416506,1.0,0,0,stim_maj_5,participant,main,0,0,0,0
32,9.001,293.6647679,1.0,0,0,stim_maj_5,participant,main,0,0,0,1
33,9.513,261.6255653,1.0,0,0,stim_maj_5,participant,main,0,0,0,0
34,10.013,329.6275569,1.0,0,0,stim_maj_5,participant,main,0,0,0,1
35,10.513,293.6647679,1.0,0,0,stim_maj_5,participant,main,0,0,0,0
36,11.009,349.2282314,1.0,0,0,stim_maj_5,participant,main,0,0,0,1
37,11.505,329.6275569,1.0,0,0,stim_maj_5,participant,main,0,0,0,0
38,12.005,523.2511306,1.0,0,0,stim_maj_5,participant,main,0,0,0,1
39,13.013,391.995436,17.5,0,0,stim_maj_5,participant,main,1,0,1,1
40,14.013,329.6275569,17.5,0,0,stim_maj_5,participant,main,0,0,0,1
41,14.509,391.995436,17.5,0,0,stim_maj_5,participant,main,0,0,0,0
42,15.012,523.2511306,17.5,0,0,stim_maj_5,participant,main,0,0,0,1
43,16.014,329.6275569,1.0,0,0,stim_maj_5,participant,main,1,1,1,1
44,16.51,349.2282314,1.0,0,0,stim_maj_5,participant,main,0,0,0,0
45,17.007,329.6275569,1.0,0,0,stim_maj_5,participant,main,0,0,0,1
46,17.507,293.6647679,1.0,0,0,stim_maj_5,participant,main,0,0,0,0
47,18.007,329.6275569,-17.5,0,0,stim_maj_5,participant,main,0,0,1,1
48,18.503,220.0,-17.5,0,0,stim_maj_5,participant,main,0,0,0,1
49,19.515,207.6523488,1.0,0,0,stim_maj_5,participant,main,1,0,1,1
50,20.012,220.0,1.0,0,0,stim_maj_5,participant,main,0,0,0,1
51,20.501,349.2282314,1.0,0,0,stim_maj_5,participant,main,0,0,0,0
52,21.011,329.6275569,1.0,0,0,stim_maj_5,participant,main,0,0,0,1
53,21.507,293.6647679,1.0,0,0,stim_maj_5,participant,main,0,0,0,0
54,22.007,329.6275569,17.5,0,0,stim_maj_5,participant,main,0,0,1,1
55,22.502,246.9416506,17.5,0,0,stim_maj_5,participant,main,0,0,0,1
56,23.514,261.6255653,17.5,0,0,stim_maj_5,participant,main,0,0,0,1
57,24.01,391.995436,1.0,0,0,stim_maj_5,participant,main,0,1,1,1
58,24.51,391.995436,1.0,0,0,stim_maj_5,participant,main,0,0,0,0
59,25.007,466.1637615,1.0,0,0,stim_maj_5,participant,main,0,0,0,1
60,25.253,440.0,1.0,0,0,stim_maj_5,participant,main,0,0,0,0
61,25.502,391.995436,1.0,0,0,stim_maj_5,participant,main,0,0,0,0
62,25.752,349.2282314,1.0,0,0,stim_maj_5,participant,main,0,0,0,0
63,26.002,391.995436,1.0,0,0,stim_maj_5,participant,main,0,0,0,1
64,26.513,523.2511306,1.0,0,0,stim_maj_5,participant,main,0,0,0,0
