,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,329.6275569,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
1,0.266,293.6647679,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
2,0.516,523.2511306,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
3,0.765,493.8833013,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
4,1.015,293.6647679,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,1
5,1.265,220.0,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
6,1.512,329.6275569,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
7,1.762,698.4564629,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
8,2.012,246.9416506,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,1
9,2.262,349.2282314,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
10,2.508,293.6647679,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
11,3.258,329.6275569,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
12,3.508,391.995436,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
13,3.758,261.6255653,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
14,4.008,329.6275569,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,1
15,4.258,261.6255653,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
16,4.505,587.3295358,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
17,4.755,391.995436,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
18,5.011,246.9416506,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,1
19,5.263,349.2282314,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
20,5.509,440.0,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
21,5.759,349.2282314,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
22,6.009,349.2282314,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,1
23,6.259,698.4564629,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
24,6.506,391.995436,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
25,7.002,261.6255653,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,1
26,8.013,391.995436,1.0,0,0,stim_maj_6,participant,melody,1,1,1,1
27,8.509,391.995436,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
28,9.008,659.2551138,1.0,0,0,stim_maj_6,participant,melody,0,0,0,1
29,9.508,329.6275569,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
30,9.755,261.6255653,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
31,10.005,659.2551138,1.0,0,0,stim_maj_6,participant,melody,0,0,0,1
32,10.504,391.995436,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
33,11.013,783.990872,1.0,0,0,stim_maj_6,participant,melody,0,0,0,1
34,12.013,349.2282314,1.0,0,0,stim_maj_6,participant,melody,0,0,0,1
35,12.263,349.2282314,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
36,12.51,493.8833013,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
37,12.76,493.8833013,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
38,13.01,349.2282314,1.0,0,0,stim_maj_6,participant,melody,0,0,0,1
39,13.26,523.2511306,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
40,13.385,587.3295358,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
41,13.51,246.9416506,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
42,13.758,523.2511306,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
43,14.008,293.6647679,1.0,0,0,stim_maj_6,participant,melody,0,0,0,1
44,14.258,220.0,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
45,14.508,698.4564629,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
46,14.755,440.0,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
47,15.005,523.2511306,1.0,0,0,stim_maj_6,participant,melody,0,0,0,1
48,16.013,391.995436,17.5,0,0,stim_maj_6,participant,melody,0,1,1,1
49,16.509,261.6255653,17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
50,17.005,349.2282314,17.5,0,0,stim_maj_6,participant,melody,0,0,0,1
51,17.255,293.6647679,17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
52,17.505,587.3295358,17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
53,17.755,261.6255653,17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
54,18.001,391.995436,17.5,0,0,stim_maj_6,participant,melody,1,0,0,1
55,18.501,293.6647679,17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
56,18.751,261.6255653,17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
57,19.015,329.6275569,1.0,0,0,stim_maj_6,participant,melody,0,0,1,1
58,19.512,246.9416506,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
59,19.762,349.2282314,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
60,20.011,391.995436,1.0,0,0,stim_maj_6,participant,melody,1,0,0,1
61,20.511,659.2551138,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
62,20.758,246.9416506,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
63,21.015,493.8833013,1.0,0,0,stim_maj_6,participant,melody,0,0,0,1
64,21.265,349.2282314,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
65,21.515,293.6647679,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
66,21.765,220.0,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
67,22.011,391.995436,1.0,0,0,stim_maj_6,participant,melody,1,0,0,1
68,22.511,349.2282314,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
69,22.761,195.997718,1.0,0,0,stim_maj_6,participant,melody,0,0,0,0
70,23.008,493.8833013,-17.5,0,0,stim_maj_6,participant,melody,0,0,1,1
71,23.258,391.995436,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
72,23.506,261.6255653,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
73,24.006,659.2551138,-17.5,0,0,stim_maj_6,participant,melody,1,1,0,1
74,25.257,329.6275569,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,1
75,25.507,349.2282314,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
76,25.753,329.6275569,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,0
77,26.001,261.6255653,-17.5,0,0,stim_maj_6,participant,melody,0,0,0,1
