,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0,stim_min_1,participant,main,0,0,0,0
1,0.262,493.8833013,-17.5,0,0,stim_min_1,participant,main,0,0,0,0
2,0.512,523.2511306,-17.5,0,0,stim_min_1,participant,main,0,0,0,0
3,1.008,391.995436,-17.5,0,0,stim_min_1,participant,main,0,0,0,1
4,1.508,415.3046976,-17.5,0,0,stim_min_1,participant,main,0,0,0,0
5,2.008,523.2511306,-17.5,0,0,stim_min_1,participant,main,0,0,0,1
6,2.258,493.8833013,-17.5,0,0,stim_min_1,participant,main,0,0,0,0
7,2.508,523.2511306,-17.5,0,0,stim_min_1,participant,main,0,0,0,0
8,3.005,587.3295358,-17.5,0,0,stim_min_1,participant,main,0,0,0,1
9,3.505,391.995436,-17.5,0,0,stim_min_1,participant,main,0,0,0,0
10,4.002,523.2511306,1.0,0,0,stim_min_1,participant,main,0,0,1,1
11,4.252,493.8833013,1.0,0,0,stim_min_1,participant,main,0,0,0,0
12,4.502,523.2511306,1.0,0,0,stim_min_1,participant,main,0,0,0,0
13,5.011,587.3295358,1.0,0,0,stim_min_1,participant,main,0,0,0,1
14,5.511,349.2282314,1.0,0,0,stim_min_1,participant,main,0,0,0,0
15,5.761,391.995436,1.0,0,0,stim_min_1,participant,main,0,0,0,0
16,6.011,415.3046976,1.0,0,0,stim_min_1,participant,main,1,0,0,1
17,6.261,391.995436,1.0,0,0,stim_min_1,participant,main,0,0,0,0
18,6.511,349.2282314,1.0,0,0,stim_min_1,participant,main,0,0,0,0
19,7.01,311.1269837,1.0,0,0,stim_min_1,participant,main,0,0,0,1
20,8.005,261.6255653,1.0,0,0,stim_min_1,participant,main,0,1,0,1
21,9.003,391.995436,1.0,0,0,stim_min_1,participant,main,0,0,0,1
22,10.508,415.3046976,1.0,0,0,stim_min_1,participant,main,0,0,0,0
23,11.004,391.995436,1.0,0,0,stim_min_1,participant,main,0,0,0,1
24,11.501,349.2282314,17.5,0,0,stim_min_1,participant,main,1,0,1,1
25,12.001,311.1269837,17.5,0,0,stim_min_1,participant,main,0,0,0,1
26,12.512,349.2282314,17.5,0,0,stim_min_1,participant,main,0,0,0,0
27,13.009,391.995436,17.5,0,0,stim_min_1,participant,main,0,0,0,1
28,13.506,293.6647679,17.5,0,0,stim_min_1,participant,main,0,0,0,0
29,14.002,246.9416506,17.5,0,0,stim_min_1,participant,main,0,0,0,1
30,15.0,261.6255653,1.0,0,0,stim_min_1,participant,main,1,0,1,1
31,16.012,391.995436,1.0,0,0,stim_min_1,participant,main,0,1,0,1
32,17.008,415.3046976,1.0,0,0,stim_min_1,participant,main,0,0,0,1
33,18.004,391.995436,1.0,0,0,stim_min_1,participant,main,0,0,0,1
34,19.015,369.9944227,-17.5,0,0,stim_min_1,participant,main,1,0,1,1
35,20.003,493.8833013,-17.5,0,0,stim_min_1,participant,main,0,0,0,1
36,21.015,523.2511306,-17.5,0,0,stim_min_1,participant,main,0,0,0,1
37,22.008,349.2282314,-17.5,0,0,stim_min_1,participant,main,0,0,0,1
38,23.008,311.1269837,1.0,0,0,stim_min_1,participant,main,0,0,1,1
39,24.511,391.995436,1.0,0,0,stim_min_1,participant,main,1,1,0,1
40,25.008,415.3046976,1.0,0,0,stim_min_1,participant,main,0,0,0,0
41,25.508,261.6255653,1.0,0,0,stim_min_1,participant,main,0,0,0,0
42,26.004,246.9416506,1.0,0,0,stim_min_1,participant,main,0,0,0,1
43,27.004,261.6255653,1.0,0,0,stim_min_1,participant,main,0,0,0,1
44,28.512,293.6647679,17.5,0,0,stim_min_1,participant,main,0,0,1,1
45,28.759,311.1269837,17.5,0,0,stim_min_1,participant,main,0,0,0,0
46,29.009,349.2282314,17.5,0,0,stim_min_1,participant,main,0,0,0,1
47,29.509,311.1269837,17.5,0,0,stim_min_1,participant,main,0,0,0,0
48,29.759,293.6647679,17.5,0,0,stim_min_1,participant,main,0,0,0,0
49,30.006,311.1269837,17.5,0,0,stim_min_1,participant,main,0,0,0,1
50,31.006,261.6255653,17.5,0,0,stim_min_1,participant,main,0,0,0,1
51,32.004,261.6255653,1.0,0,0,stim_min_1,participant,main,0,1,1,1
52,33.013,246.9416506,1.0,0,0,stim_min_1,participant,main,0,0,0,1
53,33.513,261.6255653,1.0,0,0,stim_min_1,participant,main,0,0,0,0
54,33.763,293.6647679,1.0,0,0,stim_min_1,participant,main,0,0,0,0
55,34.013,311.1269837,1.0,0,0,stim_min_1,participant,main,0,0,0,1
56,34.51,293.6647679,1.0,0,0,stim_min_1,participant,main,0,0,0,0
57,35.01,261.6255653,1.0,0,0,stim_min_1,participant,main,0,0,0,1
58,35.507,369.9944227,1.0,0,0,stim_min_1,participant,main,0,0,0,0
59,36.007,391.995436,1.0,0,0,stim_min_1,participant,main,0,0,0,1
60,36.503,233.0818808,1.0,0,0,stim_min_1,participant,main,0,0,0,0
61,37.015,261.6255653,1.0,0,0,stim_min_1,participant,main,1,0,0,1
62,37.515,261.6255653,1.0,0,0,stim_min_1,participant,main,0,0,0,0
63,38.011,293.6647679,1.0,0,0,stim_min_1,participant,main,0,0,0,1
64,38.508,293.6647679,1.0,0,0,stim_min_1,participant,main,0,0,0,0
65,39.008,195.997718,1.0,0,0,stim_min_1,participant,main,0,0,0,1
66,40.005,261.6255653,-17.5,0,0,stim_min_1,participant,main,0,1,1,1
67,40.501,293.6647679,-17.5,0,0,stim_min_1,participant,main,0,0,0,0
68,41.008,311.1269837,-17.5,0,0,stim_min_1,participant,main,1,0,0,1
69,41.508,311.1269837,-17.5,0,0,stim_min_1,participant,main,0,0,0,0
70,41.758,293.6647679,-17.5,0,0,stim_min_1,participant,main,0,0,0,0
71,42.008,311.1269837,-17.5,0,0,stim_min_1,participant,main,0,0,0,1
72,42.504,349.2282314,-17.5,0,0,stim_min_1,participant,main,0,0,0,0
73,43.004,391.995436,-17.5,0,0,stim_min_1,participant,main,0,0,0,1
74,43.254,349.2282314,-17.5,0,0,stim_min_1,participant,main,0,0,0,0
75,43.503,311.1269837,-17.5,0,0,stim_min_1,participant,main,0,0,0,0
76,43.765,349.2282314,-17.5,0,0,stim_min_1,participant,main,0,0,0,0
77,44.015,391.995436,1.0,0,0,stim_min_1,participant,main,0,0,1,1
78,44.512,415.3046976,1.0,0,0,stim_min_1,participant,main,0,0,0,0
79,45.009,246.9416506,1.0,0,0,stim_min_1,participant,main,0,0,0,1
80,45.509,195.997718,1.0,0,0,stim_min_1,participant,main,0,0,0,0
81,46.006,195.997718,1.0,0,0,stim_min_1,participant,main,0,0,0,1
82,46.256,220.0,1.0,0,0,stim_min_1,participant,main,0,0,0,0
83,46.502,246.9416506,1.0,0,0,stim_min_1,participant,main,0,0,0,0
84,47.002,261.6255653,1.0,0,0,stim_min_1,participant,main,0,0,0,1
85,48.011,391.995436,1.0,0,0,stim_min_1,participant,main,0,1,0,1
86,48.508,311.1269837,1.0,0,0,stim_min_1,participant,main,0,0,0,0
87,49.0,349.2282314,1.0,0,0,stim_min_1,participant,main,0,0,0,1
88,49.513,391.995436,1.0,0,0,stim_min_1,participant,main,0,0,0,0
89,50.013,261.6255653,17.5,0,0,stim_min_1,participant,main,1,0,1,1
90,50.509,349.2282314,17.5,0,0,stim_min_1,participant,main,0,0,0,0
91,51.009,311.1269837,17.5,0,0,stim_min_1,participant,main,0,0,0,1
92,51.259,293.6647679,17.5,0,0,stim_min_1,participant,main,0,0,0,0
93,51.509,311.1269837,17.5,0,0,stim_min_1,participant,main,0,0,0,0
94,52.507,349.2282314,17.5,0,0,stim_min_1,participant,main,0,0,0,0
95,52.754,311.1269837,17.5,0,0,stim_min_1,participant,main,0,0,0,0
96,53.004,293.6647679,17.5,0,0,stim_min_1,participant,main,0,0,0,1
97,53.5,311.1269837,17.5,0,0,stim_min_1,participant,main,0,0,0,0
98,54.0,261.6255653,17.5,0,0,stim_min_1,participant,main,0,0,0,1
99,54.513,246.9416506,17.5,0,0,stim_min_1,participant,main,0,0,0,0
100,55.513,261.6255653,17.5,0,0,stim_min_1,participant,main,0,0,0,0
101,56.009,261.6255653,1.0,0,0,stim_min_1,participant,main,1,1,1,1
102,56.181,293.6647679,1.0,0,0,stim_min_1,participant,main,0,0,0,0
103,56.337,311.1269837,1.0,0,0,stim_min_1,participant,main,0,0,0,0
104,56.509,349.2282314,1.0,0,0,stim_min_1,participant,main,0,0,0,0
105,56.667,311.1269837,1.0,0,0,stim_min_1,participant,main,0,0,0,0
106,56.835,293.6647679,1.0,0,0,stim_min_1,participant,main,0,0,0,0
107,57.007,311.1269837,1.0,0,0,stim_min_1,participant,main,0,0,0,1
108,57.179,349.2282314,1.0,0,0,stim_min_1,participant,main,0,0,0,0
109,57.348,391.995436,1.0,0,0,stim_min_1,participant,main,0,0,0,0
110,57.504,415.3046976,1.0,0,0,stim_min_1,participant,main,0,0,0,0
111,57.676,391.995436,1.0,0,0,stim_min_1,participant,main,0,0,0,0
112,57.848,349.2282314,1.0,0,0,stim_min_1,participant,main,0,0,0,0
113,58.004,391.995436,1.0,0,0,stim_min_1,participant,main,0,0,0,1
114,58.504,523.2511306,1.0,0,0,stim_min_1,participant,main,0,0,0,0
115,59.015,493.8833013,1.0,0,0,stim_min_1,participant,main,0,0,0,1
116,59.5,466.1637615,1.0,0,0,stim_min_1,participant,main,0,0,0,0
117,60.013,440.0,1.0,0,0,stim_min_1,participant,main,0,0,0,1
118,60.513,415.3046976,1.0,0,0,stim_min_1,participant,main,0,0,0,0
119,61.009,391.995436,1.0,0,0,stim_min_1,participant,main,0,0,0,1
120,61.506,349.2282314,1.0,0,0,stim_min_1,participant,main,0,0,0,0
121,62.006,349.2282314,1.0,0,0,stim_min_1,participant,main,0,0,0,1
122,62.334,311.1269837,1.0,0,0,stim_min_1,participant,main,0,0,0,0
123,62.675,293.6647679,1.0,0,0,stim_min_1,participant,main,0,0,0,0
124,63.003,261.6255653,1.0,0,0,stim_min_1,participant,main,0,0,0,0
