,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
1,0.266,391.995436,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
2,0.515,415.3046976,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
3,0.765,349.2282314,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
4,1.512,391.995436,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,1
5,1.759,311.1269837,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
6,2.009,293.6647679,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
7,2.259,261.6255653,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
8,2.384,246.9416506,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,1
9,2.509,415.3046976,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
10,2.759,587.3295358,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
11,3.509,698.4564629,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
12,3.634,698.4564629,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
13,3.88,622.2539674,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
14,4.13,587.3295358,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
15,4.63,698.4564629,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,1
16,4.88,622.2539674,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
17,5.379,587.3295358,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
18,5.629,523.2511306,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
19,5.875,622.2539674,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,1
20,6.626,391.995436,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
21,6.751,415.3046976,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
22,7.015,311.1269837,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
23,7.344,587.3295358,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,1
24,7.469,587.3295358,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
25,7.965,523.2511306,-17.5,0,0,stim_min_4,participant,rhythm,0,0,0,1
26,8.965,523.2511306,1.0,0,0,stim_min_4,participant,rhythm,1,1,1,1
27,9.715,391.995436,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,0
28,9.965,523.2511306,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,1
29,10.212,391.995436,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,0
30,11.162,415.3046976,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,1
31,11.411,391.995436,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,0
32,11.907,349.2282314,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,0
33,12.157,311.1269837,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,0
34,12.407,293.6647679,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,1
35,12.532,349.2282314,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,0
36,12.782,311.1269837,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,1
37,13.282,293.6647679,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,0
38,13.545,261.6255653,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,0
39,14.044,246.9416506,17.5,0,0,stim_min_4,participant,rhythm,0,0,1,1
40,14.541,261.6255653,17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
41,14.791,293.6647679,17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
42,15.038,311.1269837,17.5,0,0,stim_min_4,participant,rhythm,0,0,0,1
43,15.288,293.6647679,17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
44,15.538,246.9416506,17.5,0,0,stim_min_4,participant,rhythm,0,0,0,0
45,16.286,261.6255653,17.5,0,0,stim_min_4,participant,rhythm,0,0,0,1
46,17.283,391.995436,1.0,0,0,stim_min_4,participant,rhythm,1,1,1,1
47,17.533,440.0,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,0
48,18.044,493.8833013,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,0
49,18.291,523.2511306,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,0
50,18.619,587.3295358,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,0
51,18.948,622.2539674,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,1
52,19.086,587.3295358,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,0
53,19.414,311.1269837,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,1
54,19.539,293.6647679,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,0
55,19.789,311.1269837,1.0,0,0,stim_min_4,participant,rhythm,0,0,0,0
