,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
1,0.266,391.995436,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
2,0.391,415.3046976,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
3,0.64,349.2282314,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
4,0.89,391.995436,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,1
5,1.015,311.1269837,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
6,1.14,293.6647679,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
7,1.39,261.6255653,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
8,1.637,246.9416506,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,1
9,1.875,415.3046976,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
10,2.138,587.3295358,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
11,2.385,698.4564629,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
12,2.884,698.4564629,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
13,3.134,622.2539674,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
14,3.462,587.3295358,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
15,3.712,698.4564629,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,1
16,3.837,622.2539674,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
17,4.087,587.3295358,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
18,4.212,523.2511306,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
19,4.462,622.2539674,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,1
20,4.798,391.995436,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
21,5.545,415.3046976,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
22,5.794,311.1269837,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
23,6.044,587.3295358,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,1
24,6.294,587.3295358,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
25,6.546,523.2511306,-17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,1
26,7.543,523.2511306,1.0,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,1,1,1,1
27,8.306,391.995436,1.0,1,8.353,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
28,8.556,523.2511306,1.0,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,1
29,8.806,391.995436,1.0,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
30,9.056,415.3046976,1.0,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,1
31,9.181,391.995436,1.0,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
32,9.93,349.2282314,1.0,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
33,10.055,311.1269837,1.0,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
34,10.805,293.6647679,17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,1,0,1,1
35,11.302,349.2282314,17.5,1,11.427,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
36,11.552,311.1269837,17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,1
37,11.802,293.6647679,17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
38,12.299,261.6255653,17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
39,12.549,246.9416506,17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,1
40,13.299,261.6255653,17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
41,13.548,293.6647679,17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
42,14.046,311.1269837,17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,1
43,14.295,293.6647679,17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
44,14.545,246.9416506,17.5,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
45,14.795,261.6255653,1.0,1,15.277,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,1,0,1,1
46,15.792,391.995436,1.0,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,1,0,1
47,16.042,440.0,1.0,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
48,16.292,493.8833013,1.0,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
49,16.43,523.2511306,1.0,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
50,16.68,587.3295358,1.0,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
51,17.18,622.2539674,1.0,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,1
52,17.428,587.3295358,1.0,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
53,17.678,311.1269837,1.0,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,1
54,18.175,293.6647679,1.0,0,0.0,stim_min_4,sub02,rhythm,2024-02-15,15-28-45,0,0,0,0
