,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.515,261.6255653,-17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
1,1.015,293.6647679,1.0,0,0,stim_maj_1,sub02_eeg,main,1,0,1,1
2,1.515,329.6275569,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
3,2.015,349.2282314,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
4,2.765,391.995436,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
5,2.89,349.2282314,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
6,3.015,329.6275569,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
7,3.515,440.0,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
8,4.015,293.6647679,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
9,4.515,391.995436,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
10,5.264,440.0,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
11,5.514,391.995436,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
12,5.764,349.2282314,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
13,6.014,329.6275569,17.5,0,0,stim_maj_1,sub02_eeg,main,1,0,1,1
14,6.264,349.2282314,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
15,6.514,329.6275569,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
16,6.764,293.6647679,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
17,7.014,261.6255653,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
18,8.514,391.995436,17.5,0,0,stim_maj_1,sub02_eeg,main,1,1,0,1
19,9.013,440.0,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
20,9.264,391.995436,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
21,9.514,349.2282314,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
22,9.764,391.995436,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
23,10.014,659.2551138,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
24,10.514,523.2511306,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
25,11.014,391.995436,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
26,11.514,349.2282314,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
27,11.763,329.6275569,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
28,12.013,349.2282314,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
29,12.513,587.3295358,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
30,13.013,329.6275569,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
31,13.513,523.2511306,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
32,14.013,293.6647679,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
33,14.513,493.8833013,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
34,15.013,523.2511306,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,1,1
35,16.012,261.6255653,1.0,0,0,stim_maj_1,sub02_eeg,main,0,1,0,1
36,16.137,293.6647679,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
37,16.262,329.6275569,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
38,16.387,349.2282314,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
39,16.512,329.6275569,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
40,16.637,293.6647679,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
41,16.762,329.6275569,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
42,16.887,261.6255653,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
43,17.012,440.0,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
44,17.762,440.0,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
45,18.012,391.995436,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
46,18.762,349.2282314,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
47,19.012,329.6275569,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
48,19.762,349.2282314,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
49,20.011,329.6275569,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
50,20.761,293.6647679,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
51,21.011,261.6255653,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
52,21.511,195.997718,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
53,22.011,261.6255653,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
54,22.261,293.6647679,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
55,22.511,329.6275569,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
56,22.761,293.6647679,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
57,23.01,261.6255653,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
58,24.002,391.995436,1.0,0,0,stim_maj_1,sub02_eeg,main,1,1,0,1
59,24.252,329.6275569,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
60,24.502,293.6647679,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
61,24.752,329.6275569,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
62,25.004,261.6255653,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
63,25.254,349.2282314,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
64,25.504,329.6275569,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
65,25.754,349.2282314,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
66,26.004,440.0,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
67,26.504,391.995436,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
68,27.504,369.9944227,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
69,27.75,293.6647679,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
70,28.005,523.2511306,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
71,28.506,493.8833013,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
72,29.006,440.0,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
73,30.005,391.995436,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
74,30.255,587.3295358,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
75,30.505,493.8833013,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
76,30.755,440.0,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
77,31.005,493.8833013,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
78,31.515,391.995436,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
79,32.015,523.2511306,-17.5,0,0,stim_maj_1,sub02_eeg,main,1,1,1,1
80,32.515,493.8833013,-17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
81,33.001,523.2511306,-17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
82,33.501,493.8833013,-17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
83,33.751,440.0,-17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
84,34.001,391.995436,-17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
85,34.751,349.2282314,-17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
86,34.876,391.995436,-17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
87,35.001,440.0,-17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
88,36.513,391.995436,-17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
89,37.013,349.2282314,1.0,0,0,stim_maj_1,sub02_eeg,main,1,0,1,1
90,37.512,329.6275569,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
91,38.012,293.6647679,1.0,0,0,stim_maj_1,sub02_eeg,main,0,1,0,1
92,38.512,391.995436,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
93,39.012,329.6275569,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
94,39.513,261.6255653,1.0,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
95,40.012,261.6255653,17.5,0,0,stim_maj_1,sub02_eeg,main,0,1,1,1
96,40.512,391.995436,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
97,41.012,329.6275569,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,1
98,41.512,261.6255653,17.5,0,0,stim_maj_1,sub02_eeg,main,0,0,0,0
