,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,-17.5,0,0,stim_maj_4,sub02_eeg,rhythm,2024-02-16,14-47-18,0,0,0,1
1,0.266,293.6647679,-17.5,0,0,stim_maj_4,sub02_eeg,rhythm,2024-02-16,14-47-18,0,0,0,0
2,0.512,329.6275569,-17.5,0,0,stim_maj_4,sub02_eeg,rhythm,2024-02-16,14-47-18,0,0,0,0
3,0.757,391.995436,-17.5,0,0,stim_maj_4,sub02_eeg,rhythm,2024-02-16,14-47-18,0,0,0,0
4,1.007,261.6255653,-17.5,0,0,stim_maj_4,sub02_eeg,rhythm,2024-02-16,14-47-18,0,0,0,1
5,1.257,329.6275569,-17.5,0,0,stim_maj_4,sub02_eeg,rhythm,2024-02-16,14-47-18,0,0,0,0
6,1.504,391.995436,-17.5,0,0,stim_maj_4,sub02_eeg,rhythm,2024-02-16,14-47-18,0,0,0,0
7,1.754,466.1637615,-17.5,0,0,stim_maj_4,sub02_eeg,rhythm,2024-02-16,14-47-18,0,0,0,0
8,2.001,440.0,-17.5,0,0,stim_maj_4,sub02_eeg,rhythm,2024-02-16,14-47-18,0,0,0,1
9,2.251,329.6275569,-17.5,0,0,stim_maj_4,sub02_eeg,rhythm,2024-02-16,14-47-18,0,0,0,0
10,2.5,349.2282314,-17.5,0,0,stim_maj_4,sub02_eeg,rhythm,2024-02-16,14-47-18,0,0,0,0
11,2.75,440.0,-17.5,0,0,stim_maj_4,sub02_eeg,rhythm,2024-02-16,14-47-18,0,0,0,0
12,3.0,261.6255653,-17.5,0,0,stim_maj_4,sub02_eeg,rhythm,2024-02-16,14-47-18,0,0,0,1
13,3.25,349.2282314,-17.5,0,0,stim_maj_4,sub02_eeg,rhythm,2024-02-16,14-47-18,0,0,0,0
14,3.763,440.0,-17.5,0,0,stim_maj_4,sub02_eeg,rhythm,2024-02-16,14-47-18,0,0,0,0
