,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.512,195.997718,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
1,0.762,587.3295358,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
2,1.012,311.1269837,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,1,0,1,1
3,1.262,587.3295358,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
4,1.512,493.8833013,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
5,1.758,415.3046976,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
6,2.008,246.9416506,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
7,2.258,195.997718,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
8,2.508,261.6255653,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
9,2.758,195.997718,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
10,3.008,391.995436,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
11,3.255,493.8833013,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
12,3.505,391.995436,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
13,3.751,391.995436,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
14,4.005,587.3295358,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
15,4.255,349.2282314,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
16,4.505,261.6255653,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
17,4.752,415.3046976,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
18,5.014,311.1269837,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,1,0,1,1
19,5.264,369.9944227,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
20,5.513,587.3295358,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
21,5.763,466.1637615,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
22,6.01,523.2511306,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
23,6.26,261.6255653,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
24,6.51,587.3295358,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
25,6.885,783.990872,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
26,7.01,523.2511306,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,1,1
27,7.135,415.3046976,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
28,7.26,523.2511306,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
29,8.253,523.2511306,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,1,1,0,1
30,8.503,195.997718,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
31,8.765,493.8833013,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
32,9.015,587.3295358,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
33,9.515,261.6255653,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
34,10.262,523.2511306,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
35,10.512,698.4564629,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
36,10.762,698.4564629,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
37,11.012,587.3295358,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
38,11.508,415.3046976,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
39,12.252,311.1269837,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
40,12.502,783.990872,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
41,12.752,391.995436,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
42,13.015,523.2511306,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,1,1
43,13.515,293.6647679,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
44,14.015,246.9416506,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
45,14.257,349.2282314,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
46,14.507,587.3295358,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
47,14.757,523.2511306,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
48,15.007,311.1269837,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
49,15.253,523.2511306,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
50,16.0,261.6255653,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,1,1,1
51,16.513,622.2539674,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
52,17.01,261.6255653,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
53,17.501,349.2282314,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
54,18.001,783.990872,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
55,18.263,493.8833013,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
56,18.513,523.2511306,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
57,18.763,311.1269837,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
58,19.011,415.3046976,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,1,0,1,1
59,19.758,440.0,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
60,20.008,523.2511306,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
61,20.254,261.6255653,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
62,20.504,261.6255653,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
63,20.754,523.2511306,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
64,21.001,587.3295358,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
65,21.751,293.6647679,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
66,22.001,415.3046976,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
67,22.25,293.6647679,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
68,22.513,311.1269837,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
69,22.763,523.2511306,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
70,23.013,622.2539674,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
71,23.514,261.6255653,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
72,24.011,391.995436,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,1,1,0,1
73,25.004,622.2539674,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
74,25.754,391.995436,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
75,26.004,311.1269837,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
76,26.75,391.995436,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
77,27.0,523.2511306,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
78,28.012,523.2511306,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
79,29.009,523.2511306,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
80,29.756,830.6093952,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
81,30.006,293.6647679,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
82,30.765,493.8833013,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
83,31.015,261.6255653,17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,1,0,0,1
84,32.011,523.2511306,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,1,1,1
85,32.511,622.2539674,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
86,33.008,587.3295358,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
87,33.505,391.995436,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
88,34.005,587.3295358,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
89,35.513,391.995436,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,1,0,0,1
90,36.01,261.6255653,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
91,37.503,293.6647679,1.0,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
92,38.003,493.8833013,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,1,0,1,1
93,38.765,830.6093952,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
94,39.015,493.8833013,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
95,39.265,415.3046976,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
96,39.515,523.2511306,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
97,40.512,391.995436,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,1,0,1
98,41.008,391.995436,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
99,41.505,391.995436,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
100,42.005,349.2282314,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
101,42.505,391.995436,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
102,43.002,391.995436,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,1
103,43.501,622.2539674,-17.5,0,0,stim_min_3,sub02_eeg,melody,2024-02-16,15-07-24,0,0,0,0
