,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.016,415.3046976,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
1,0.266,293.6647679,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
2,0.515,391.995436,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
3,0.765,523.2511306,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
4,1.001,830.6093952,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,1
5,1.251,261.6255653,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
6,1.513,293.6647679,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
7,1.763,830.6093952,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
8,2.013,415.3046976,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,1
9,2.26,523.2511306,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
10,2.51,587.3295358,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
11,2.757,622.2539674,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
12,3.257,587.3295358,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
13,3.506,246.9416506,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
14,3.753,293.6647679,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
15,4.003,783.990872,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,1
16,4.25,622.2539674,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
17,4.516,523.2511306,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
18,4.766,523.2511306,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
19,5.0,415.3046976,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,1
20,5.25,587.3295358,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
21,5.513,587.3295358,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
22,5.763,293.6647679,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
23,6.013,830.6093952,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,1
24,6.757,523.2511306,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
25,7.006,523.2511306,-17.5,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,1
26,8.006,523.2511306,1.0,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,1,1,1
27,8.765,783.990872,1.0,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
28,9.015,391.995436,1.0,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,1
29,9.762,523.2511306,1.0,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
30,10.012,523.2511306,1.0,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,1
31,10.634,293.6647679,1.0,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
32,10.759,698.4564629,1.0,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
33,10.884,293.6647679,1.0,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
34,11.006,293.6647679,1.0,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,1
35,11.756,698.4564629,1.0,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
36,12.006,587.3295358,1.0,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,1
37,12.753,349.2282314,1.0,0,0,stim_min_4,sub02_eeg,melody,2024-02-16,15-09-47,0,0,0,0
