,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
1,0.516,293.6647679,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
2,0.751,329.6275569,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
3,1.001,349.2282314,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,1
4,1.263,293.6647679,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
5,1.5,329.6275569,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
6,1.76,261.6255653,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
7,2.01,391.995436,1.0,0,0.0,stim_maj_3,sub03,rhythm,1,0,1,1
8,2.257,523.2511306,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
9,2.507,493.8833013,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,1
10,2.757,523.2511306,1.0,1,2.819,stim_maj_3,sub03,rhythm,0,0,0,0
11,3.253,587.3295358,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,1
12,3.503,391.995436,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
13,4.004,440.0,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
14,4.25,493.8833013,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
15,4.5,523.2511306,17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,1,1
16,4.75,440.0,17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
17,5.0,493.8833013,17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
18,5.263,391.995436,17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
19,5.513,587.3295358,17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,1
20,5.761,783.990872,17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
21,6.005,391.995436,17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,1
22,7.26,783.990872,1.0,0,0.0,stim_maj_3,sub03,rhythm,1,1,1,1
23,7.51,391.995436,1.0,1,8.084,stim_maj_3,sub03,rhythm,0,0,0,0
24,8.51,783.990872,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
25,8.76,783.990872,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,1
26,9.006,880.0,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
27,9.502,783.990872,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
28,9.752,880.0,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
29,10.002,698.4564629,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,1
30,10.252,698.4564629,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
31,10.502,349.2282314,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
32,10.765,698.4564629,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
33,11.014,698.4564629,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,1
34,11.514,783.990872,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
35,11.764,698.4564629,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
36,12.011,783.990872,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
37,12.261,659.2551138,-17.5,0,0.0,stim_maj_3,sub03,rhythm,1,0,1,1
38,12.51,391.995436,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
39,12.762,523.2511306,-17.5,1,12.942,stim_maj_3,sub03,rhythm,0,0,0,0
40,13.004,587.3295358,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
41,13.254,659.2551138,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,1
42,13.751,391.995436,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
43,14.013,523.2511306,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
44,14.513,587.3295358,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
45,14.759,659.2551138,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,1
46,15.009,698.4564629,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
47,15.509,587.3295358,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
48,15.759,659.2551138,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
49,16.005,523.2511306,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
50,16.255,391.995436,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,1
51,16.505,523.2511306,-17.5,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
52,17.251,391.995436,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,1,1,1
53,17.513,440.0,1.0,0,0.0,stim_maj_3,sub03,rhythm,0,0,0,0
