,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,-17.5,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,1
1,0.266,391.995436,-17.5,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
2,0.515,391.995436,-17.5,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
3,0.765,293.6647679,-17.5,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
4,1.012,329.6275569,-17.5,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,1
5,1.262,349.2282314,-17.5,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
6,1.512,349.2282314,-17.5,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
7,1.759,261.6255653,-17.5,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
8,2.009,329.6275569,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,1,0,1,1
9,2.259,440.0,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
10,2.509,349.2282314,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
11,2.758,523.2511306,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
12,3.004,349.2282314,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,1
13,3.254,493.8833013,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
14,3.504,493.8833013,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
15,3.754,349.2282314,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
16,4.004,523.2511306,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,1
17,4.254,523.2511306,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
18,4.5,329.6275569,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
19,4.751,391.995436,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
20,5.013,659.2551138,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,1
21,5.263,349.2282314,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
22,5.513,659.2551138,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
23,5.763,587.3295358,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
24,6.009,587.3295358,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,1
25,6.259,440.0,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
26,6.509,329.6275569,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
27,6.759,391.995436,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
28,7.001,523.2511306,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,1
29,7.256,261.6255653,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
30,7.505,523.2511306,1.0,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
31,8.003,523.2511306,17.5,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,1,1,1,1
32,8.503,493.8833013,17.5,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,0
33,9.015,329.6275569,17.5,0,0,stim_maj_4,sub03_eeg,melody,2024-02-19,18-55-15,0,0,0,1
