,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,587.3295358,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
1,0.266,440.0,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
2,0.516,329.6275569,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
3,0.765,293.6647679,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
4,1.015,349.2282314,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,1
5,1.265,587.3295358,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
6,1.515,329.6275569,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
7,1.754,932.327523,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
8,2.261,261.6255653,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
9,2.511,466.1637615,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
10,2.761,659.2551138,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
11,3.011,659.2551138,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,1
12,3.261,783.990872,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
13,3.511,523.2511306,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
14,3.758,329.6275569,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
15,4.008,293.6647679,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,1
16,4.258,783.990872,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
17,4.508,293.6647679,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
18,4.758,587.3295358,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
19,5.008,523.2511306,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,1
20,5.254,329.6275569,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
21,5.504,293.6647679,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
22,5.753,880.0,-17.5,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
23,6.015,293.6647679,1.0,0,0,stim_maj_5,sub03_eeg,melody,0,0,1,1
24,6.265,440.0,1.0,0,0,stim_maj_5,sub03_eeg,melody,0,0,0,0
