,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
1,0.266,493.8833013,-17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
2,0.516,523.2511306,-17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
3,1.012,391.995436,-17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
4,1.509,415.3046976,-17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
5,2.009,523.2511306,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,1,1
6,2.259,493.8833013,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
7,2.509,523.2511306,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
8,3.005,587.3295358,1.0,0,0,stim_min_1,sub03_eeg,main,1,0,0,1
9,3.505,391.995436,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
10,4.003,523.2511306,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
11,4.253,493.8833013,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
12,4.513,523.2511306,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
13,5.009,587.3295358,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
14,5.509,349.2282314,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
15,5.759,391.995436,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
16,6.009,415.3046976,17.5,0,0,stim_min_1,sub03_eeg,main,0,0,1,1
17,6.259,391.995436,17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
18,6.506,349.2282314,17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
19,7.003,311.1269837,17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
20,8.015,261.6255653,17.5,0,0,stim_min_1,sub03_eeg,main,1,1,0,1
21,9.011,391.995436,17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
22,10.508,415.3046976,17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
23,11.009,391.995436,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,1,1
24,11.503,349.2282314,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
25,12.003,311.1269837,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
26,12.503,349.2282314,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
27,13.001,391.995436,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
28,13.501,293.6647679,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
29,14.0,246.9416506,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
30,15.012,261.6255653,1.0,0,0,stim_min_1,sub03_eeg,main,1,0,0,1
31,16.009,391.995436,-17.5,0,0,stim_min_1,sub03_eeg,main,0,1,1,1
32,17.0,415.3046976,-17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
33,18.003,391.995436,-17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
34,19.015,369.9944227,1.0,0,0,stim_min_1,sub03_eeg,main,1,0,1,1
35,20.008,493.8833013,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
36,21.008,523.2511306,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
37,22.002,349.2282314,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
38,23.009,311.1269837,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
39,24.503,391.995436,17.5,0,0,stim_min_1,sub03_eeg,main,0,1,1,1
40,25.003,415.3046976,17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
41,25.501,261.6255653,17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
42,26.013,246.9416506,17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
43,27.009,261.6255653,17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
44,28.501,293.6647679,17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
45,28.752,311.1269837,17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
46,29.002,349.2282314,17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
47,29.514,311.1269837,17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
48,29.764,293.6647679,17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
49,30.014,311.1269837,17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
50,31.011,261.6255653,17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
51,32.003,261.6255653,1.0,0,0,stim_min_1,sub03_eeg,main,0,1,1,1
52,33.003,246.9416506,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
53,33.515,261.6255653,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
54,33.762,293.6647679,1.0,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
55,34.002,311.1269837,-17.5,0,0,stim_min_1,sub03_eeg,main,0,0,1,1
56,34.502,293.6647679,-17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
57,35.015,261.6255653,-17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
58,35.514,369.9944227,-17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,0
59,36.014,391.995436,-17.5,0,0,stim_min_1,sub03_eeg,main,0,0,0,1
