,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,0
1,0.512,493.8833013,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,0
2,0.762,523.2511306,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,0
3,1.262,391.995436,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,1
4,1.762,415.3046976,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,0
5,2.259,523.2511306,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,1
6,2.509,493.8833013,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,0
7,3.009,523.2511306,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,0
8,3.259,587.3295358,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,1
9,3.509,391.995436,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,0
10,3.68,523.2511306,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,1
11,4.005,493.8833013,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,0
12,4.502,523.2511306,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,0
13,5.502,587.3295358,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,1
14,6.014,349.2282314,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,0
15,6.256,391.995436,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,0
16,6.506,415.3046976,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,1
17,7.016,391.995436,-17.5,0,0,stim_min_1,sub03_eeg,rhythm,2024-02-19,19-14-57,0,0,0,0
