,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,-17.5,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
1,0.515,311.1269837,-17.5,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
2,1.012,261.6255653,1.0,0,0,stim_min_2,sub03_eeg,rhythm,1,0,1,1
3,1.512,415.3046976,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
4,1.762,415.3046976,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
5,2.262,391.995436,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
6,2.512,493.8833013,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
7,3.012,523.2511306,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
8,3.376,349.2282314,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
9,3.876,349.2282314,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
10,4.001,311.1269837,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
11,4.263,493.8833013,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
12,4.763,523.2511306,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
13,5.76,293.6647679,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
14,6.257,311.1269837,17.5,0,0,stim_min_2,sub03_eeg,rhythm,1,0,1,1
15,6.754,349.2282314,17.5,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
16,7.25,391.995436,17.5,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
17,7.763,349.2282314,17.5,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
18,8.262,311.1269837,17.5,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
19,8.514,293.6647679,17.5,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
20,9.008,261.6255653,17.5,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
21,10.504,391.995436,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,1,1,1
22,11.004,261.6255653,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
23,11.388,261.6255653,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
24,11.888,261.6255653,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
25,12.388,415.3046976,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
26,12.638,349.2282314,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
27,14.132,246.9416506,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
28,15.637,246.9416506,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
29,16.137,246.9416506,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
30,16.637,261.6255653,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
31,16.883,293.6647679,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
32,17.38,311.1269837,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
33,17.63,349.2282314,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
34,19.127,311.1269837,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
35,19.389,293.6647679,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
36,19.635,311.1269837,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
37,19.885,349.2282314,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
38,20.381,415.3046976,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
39,20.631,391.995436,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
40,20.881,349.2282314,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
41,21.388,311.1269837,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
42,22.385,523.2511306,1.0,0,0,stim_min_2,sub03_eeg,rhythm,1,1,0,1
43,22.635,587.3295358,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
44,23.135,493.8833013,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
45,23.385,523.2511306,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
46,23.631,440.0,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
47,24.131,880.0,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
48,24.627,830.6093952,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
49,25.139,880.0,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
50,25.635,739.9888454,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
51,26.135,830.6093952,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
52,26.381,659.2551138,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
53,26.631,880.0,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
54,27.131,659.2551138,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
55,27.381,698.4564629,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
56,27.553,587.3295358,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
57,28.553,391.995436,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
58,29.053,783.990872,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
59,29.299,659.2551138,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
60,29.794,698.4564629,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
61,30.801,587.3295358,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
62,31.051,659.2551138,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
63,31.301,523.2511306,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
64,32.793,261.6255653,-17.5,0,0,stim_min_2,sub03_eeg,rhythm,1,1,1,1
65,33.306,261.6255653,-17.5,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
66,33.462,261.6255653,-17.5,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
67,33.634,293.6647679,-17.5,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
68,33.88,293.6647679,-17.5,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
69,34.13,293.6647679,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,1,1
70,34.626,311.1269837,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
71,34.876,349.2282314,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
72,35.388,293.6647679,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
73,35.884,311.1269837,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
74,36.009,293.6647679,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
75,36.509,311.1269837,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
76,37.009,261.6255653,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
77,37.505,293.6647679,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
78,38.005,311.1269837,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
79,38.506,293.6647679,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
80,38.752,311.1269837,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
81,39.002,349.2282314,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
82,39.252,391.995436,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
83,40.76,261.6255653,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,1,0,1
84,41.26,261.6255653,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
85,41.506,261.6255653,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
86,41.677,311.1269837,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
87,41.927,293.6647679,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
88,42.173,261.6255653,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
89,43.123,293.6647679,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,1
90,43.615,195.997718,1.0,0,0,stim_min_2,sub03_eeg,rhythm,0,0,0,0
