,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
1,0.251,293.6647679,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
2,0.5,329.6275569,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
3,0.757,349.2282314,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
4,1.007,391.995436,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
5,1.257,349.2282314,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
6,1.503,329.6275569,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
7,2.014,440.0,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
8,2.264,293.6647679,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
9,2.389,391.995436,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
10,2.889,440.0,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
11,3.139,391.995436,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
12,3.389,349.2282314,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
13,3.637,329.6275569,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
14,4.137,349.2282314,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
15,4.262,329.6275569,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
16,4.512,293.6647679,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
17,5.262,261.6255653,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
18,6.758,391.995436,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,1,1,1
19,7.258,440.0,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
20,7.507,391.995436,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
21,7.754,349.2282314,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
22,8.254,391.995436,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
23,8.504,659.2551138,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
24,8.753,523.2511306,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
25,9.015,391.995436,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
26,9.515,349.2282314,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
27,10.011,329.6275569,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
28,10.258,349.2282314,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
29,10.383,587.3295358,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
30,10.629,329.6275569,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
31,11.129,523.2511306,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
32,11.625,293.6647679,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
33,12.578,493.8833013,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
34,12.828,523.2511306,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
35,13.824,261.6255653,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,1,1,0,1
36,13.949,293.6647679,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
37,14.199,329.6275569,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
38,14.461,349.2282314,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
39,15.952,329.6275569,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
40,16.452,293.6647679,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
41,16.952,329.6275569,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
42,17.198,261.6255653,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
43,17.448,440.0,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
44,18.456,440.0,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
45,19.456,391.995436,17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,1,0,1,1
46,19.952,349.2282314,17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
47,20.204,329.6275569,17.5,1,20.266,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
48,20.454,349.2282314,17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
49,20.704,329.6275569,17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
50,21.2,293.6647679,17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
51,21.699,261.6255653,17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
52,22.211,195.997718,17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
53,23.707,261.6255653,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,1,0,1,1
54,23.953,293.6647679,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
55,24.203,329.6275569,1.0,1,24.234,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
56,24.453,293.6647679,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
57,24.703,261.6255653,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
58,25.699,391.995436,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,1,1,1,1
59,25.949,329.6275569,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
60,26.211,293.6647679,-17.5,1,26.398,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
61,27.206,329.6275569,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
62,27.706,261.6255653,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
63,28.198,349.2282314,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
64,28.448,329.6275569,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
65,28.698,349.2282314,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
66,29.71,440.0,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
67,29.831,391.995436,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
68,30.328,369.9944227,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
69,30.575,293.6647679,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
70,30.825,523.2511306,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
71,31.586,493.8833013,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
72,32.083,440.0,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
73,32.208,391.995436,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
74,32.704,587.3295358,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
75,32.954,493.8833013,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
76,33.45,440.0,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
77,33.575,493.8833013,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
78,33.825,391.995436,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
79,34.325,523.2511306,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,1,1,1,1
80,34.834,493.8833013,1.0,1,34.881,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
81,34.959,523.2511306,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
82,35.209,493.8833013,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
83,35.959,440.0,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
84,36.463,391.995436,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
85,36.713,349.2282314,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
86,37.213,391.995436,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
87,37.96,440.0,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
88,38.456,391.995436,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
89,38.952,349.2282314,17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,1,1
90,39.074,329.6275569,17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
91,39.573,293.6647679,17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
92,40.073,391.995436,17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
93,41.082,329.6275569,17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
94,41.332,261.6255653,17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
95,41.828,261.6255653,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,1,1,1
96,42.328,391.995436,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
97,42.574,329.6275569,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
98,42.825,261.6255653,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
99,43.087,440.0,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,1,0,1,1
100,43.587,349.2282314,-17.5,1,43.665,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
101,44.087,391.995436,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
102,44.333,391.995436,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
103,44.83,349.2282314,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
104,45.583,329.6275569,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
105,46.082,349.2282314,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
106,46.582,391.995436,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
107,47.328,440.0,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
108,47.579,493.8833013,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
109,47.829,391.995436,-17.5,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
110,48.331,523.2511306,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,1,1
111,48.826,587.3295358,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
112,49.325,659.2551138,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
113,49.838,783.990872,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
114,50.323,523.2511306,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
115,51.335,246.9416506,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,1,1,0,1
116,51.835,261.6255653,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
117,52.331,293.6647679,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
118,52.827,195.997718,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
119,52.952,220.0,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
120,53.202,246.9416506,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
121,53.452,261.6255653,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
122,54.452,293.6647679,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
123,54.702,329.6275569,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
124,55.198,349.2282314,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
125,55.323,329.6275569,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,0
126,55.823,293.6647679,1.0,0,0.0,stim_maj_1,sub04,rhythm,2024-02-20,20-30-25,0,0,0,1
