,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
1,0.172,261.6255653,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
2,0.422,329.6275569,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
3,1.172,391.995436,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
4,1.422,523.2511306,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
5,1.919,659.2551138,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
6,2.169,783.990872,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
7,2.423,1046.502261,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
8,2.595,1046.502261,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
9,3.091,987.7666025,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
10,3.341,880.0,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
11,3.838,987.7666025,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
12,3.963,1174.659072,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
13,4.213,783.990872,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
14,5.222,880.0,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
15,5.347,932.327523,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
16,5.597,783.990872,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
17,6.094,659.2551138,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
18,6.344,523.2511306,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
19,6.5,440.0,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
20,7.509,523.2511306,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
21,7.759,698.4564629,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
22,8.258,440.0,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
23,8.504,523.2511306,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
24,8.754,698.4564629,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
25,9.004,659.2551138,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
26,9.176,587.3295358,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
27,9.422,523.2511306,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,1,0,0,1
28,9.922,587.3295358,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
29,10.047,523.2511306,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
30,10.547,261.6255653,1.0,0,0,stim_maj_5,sub04_eeg,rhythm,0,1,1,1
31,11.043,246.9416506,1.0,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
32,11.293,293.6647679,1.0,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
33,11.465,261.6255653,1.0,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
34,12.414,329.6275569,1.0,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
35,12.661,293.6647679,1.0,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
36,12.911,349.2282314,1.0,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
37,13.161,329.6275569,1.0,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
38,13.332,523.2511306,1.0,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
39,13.832,391.995436,1.0,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
40,14.329,329.6275569,17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,1,1
41,14.829,391.995436,17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
42,15.079,523.2511306,17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
43,16.075,329.6275569,17.5,0,0,stim_maj_5,sub04_eeg,rhythm,1,1,0,1
44,16.587,349.2282314,17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
45,16.835,329.6275569,17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
46,17.331,293.6647679,17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
47,17.503,329.6275569,1.0,0,0,stim_maj_5,sub04_eeg,rhythm,1,0,1,1
48,17.747,220.0,1.0,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
49,17.872,207.6523488,1.0,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
50,18.367,220.0,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,1,0,1,1
51,18.616,349.2282314,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
52,19.116,329.6275569,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
53,19.379,293.6647679,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,0
54,19.629,329.6275569,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
55,19.879,246.9416506,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
56,20.376,261.6255653,-17.5,0,0,stim_maj_5,sub04_eeg,rhythm,0,0,0,1
