,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.516,783.990872,-17.5,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
1,0.765,415.3046976,-17.5,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
2,1.015,311.1269837,-17.5,0,0,stim_min_3,sub04_eeg,melody,0,0,0,1
3,1.265,587.3295358,-17.5,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
4,1.515,415.3046976,-17.5,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
5,1.765,391.995436,-17.5,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
6,2.015,246.9416506,1.0,0,0,stim_min_3,sub04_eeg,melody,1,0,1,1
7,2.265,587.3295358,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
8,2.515,261.6255653,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
9,2.765,391.995436,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
10,3.015,523.2511306,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,1
11,3.265,349.2282314,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
12,3.512,349.2282314,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
13,3.762,622.2539674,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
14,4.011,587.3295358,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,1
15,4.261,830.6093952,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
16,4.511,293.6647679,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
17,4.75,415.3046976,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
18,5.008,587.3295358,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,1
19,5.258,293.6647679,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
20,5.508,261.6255653,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
21,5.761,493.8833013,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
22,6.011,523.2511306,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,1
23,6.261,493.8833013,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
24,6.511,587.3295358,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
25,6.883,523.2511306,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
26,7.008,261.6255653,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,1
27,7.133,587.3295358,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
28,7.258,523.2511306,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
29,8.259,523.2511306,1.0,0,0,stim_min_3,sub04_eeg,melody,0,1,0,1
30,8.506,587.3295358,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
31,8.756,311.1269837,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
32,9.003,523.2511306,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,1
33,9.502,293.6647679,1.0,0,0,stim_min_3,sub04_eeg,melody,0,0,0,0
