,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.001,261.6255653,-17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
1,0.251,246.9416506,-17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
2,0.501,523.2511306,-17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
3,0.751,329.6275569,-17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
4,1.002,293.6647679,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,1,1
5,1.25,293.6647679,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
6,1.501,261.6255653,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
7,1.75,349.2282314,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
8,2.0,349.2282314,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
9,2.251,523.2511306,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
10,2.5,349.2282314,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
11,2.75,440.0,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
12,3.0,329.6275569,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
13,3.25,466.1637615,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
14,3.5,261.6255653,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
15,3.751,523.2511306,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
16,4.0,349.2282314,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
17,4.251,523.2511306,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
18,4.501,659.2551138,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
19,4.751,329.6275569,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
20,5.0,349.2282314,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
21,5.25,391.995436,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
22,5.501,523.2511306,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
23,5.751,329.6275569,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
24,6.0,349.2282314,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
25,6.25,293.6647679,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
26,6.501,440.0,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
27,6.751,329.6275569,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
28,7.0,523.2511306,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
29,7.251,783.990872,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
30,7.501,523.2511306,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
31,8.001,523.2511306,17.5,0,0.0,stim_maj_4,sub05,melody,1,1,1,1
32,8.501,391.995436,17.5,1,8.573,stim_maj_4,sub05,melody,0,0,0,0
33,9.0,246.9416506,17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
34,9.5,329.6275569,17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
35,10.001,391.995436,17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
36,11.501,523.2511306,17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
37,12.0,261.6255653,17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
38,12.501,261.6255653,17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
39,13.001,493.8833013,17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
40,13.501,659.2551138,17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
41,14.001,293.6647679,17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
42,15.001,349.2282314,17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
43,15.501,261.6255653,17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
44,16.001,391.995436,17.5,0,0.0,stim_maj_4,sub05,melody,0,1,0,1
45,16.251,329.6275569,17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
46,16.501,523.2511306,17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
47,16.751,587.3295358,17.5,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
48,17.001,587.3295358,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,1,1
49,17.25,523.2511306,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
50,17.501,659.2551138,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
51,17.75,261.6255653,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
52,18.001,329.6275569,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
53,18.5,349.2282314,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
54,19.5,523.2511306,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
55,20.001,329.6275569,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
56,20.251,293.6647679,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
57,20.501,349.2282314,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
58,20.75,349.2282314,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
59,21.001,329.6275569,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
60,21.251,587.3295358,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
61,21.5,391.995436,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
62,21.751,587.3295358,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
63,22.001,391.995436,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
64,22.251,587.3295358,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
65,22.5,329.6275569,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
66,22.75,440.0,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
67,23.001,391.995436,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,1
68,23.251,493.8833013,1.0,0,0.0,stim_maj_4,sub05,melody,0,0,0,0
