,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.001,493.8833013,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
1,0.251,391.995436,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
2,0.501,1046.502261,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
3,0.751,698.4564629,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
4,1.001,587.3295358,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,1
5,1.251,587.3295358,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
6,1.5,587.3295358,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
7,1.75,493.8833013,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
8,2.0,587.3295358,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,1
9,2.251,493.8833013,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
10,2.5,622.2539674,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
11,2.75,783.990872,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
12,3.25,587.3295358,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
13,3.5,783.990872,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
14,3.75,311.1269837,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
15,4.0,830.6093952,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,1
16,4.25,523.2511306,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
17,4.5,261.6255653,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
18,4.751,698.4564629,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
19,5.001,587.3295358,1.0,0,0.0,stim_min_4,sub05,melody,1,0,1,1
20,5.251,523.2511306,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
21,5.5,293.6647679,1.0,1,5.632,stim_min_4,sub05,melody,0,0,0,0
22,5.751,622.2539674,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
23,6.0,698.4564629,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,1
24,6.75,349.2282314,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
25,7.0,523.2511306,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,1
26,8.002,523.2511306,17.5,0,0.0,stim_min_4,sub05,melody,0,1,1,1
27,8.75,261.6255653,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
28,9.001,587.3295358,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,1
29,9.75,293.6647679,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
30,10.002,1046.502261,1.0,0,0.0,stim_min_4,sub05,melody,1,0,1,1
31,10.626,415.3046976,1.0,1,10.629,stim_min_4,sub05,melody,0,0,0,0
32,10.75,622.2539674,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
33,10.875,311.1269837,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
34,11.0,622.2539674,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,1
35,11.751,587.3295358,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
36,12.001,311.1269837,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,1
37,12.751,493.8833013,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
38,12.875,246.9416506,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
39,13.001,622.2539674,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,1
40,13.751,830.6093952,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
41,13.876,311.1269837,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
42,14.001,415.3046976,-17.5,0,0.0,stim_min_4,sub05,melody,1,0,1,1
43,14.75,622.2539674,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
44,14.875,523.2511306,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
45,15.001,261.6255653,-17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,1
46,16.002,391.995436,1.0,0,0.0,stim_min_4,sub05,melody,1,1,1,1
47,16.251,587.3295358,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
48,16.376,440.0,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
49,16.5,622.2539674,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
50,16.751,783.990872,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
51,17.0,523.2511306,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,1
52,17.501,415.3046976,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
53,18.001,349.2282314,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,1
54,18.26,523.2511306,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
55,18.5,391.995436,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
56,18.751,415.3046976,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
57,19.0,698.4564629,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,1
58,19.751,698.4564629,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
59,20.001,293.6647679,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,1
60,20.265,391.995436,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
61,20.376,349.2282314,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
62,20.501,587.3295358,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
63,20.75,523.2511306,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
64,21.0,622.2539674,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,1
65,21.25,311.1269837,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
66,21.376,349.2282314,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
67,21.501,587.3295358,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
68,21.75,523.2511306,1.0,0,0.0,stim_min_4,sub05,melody,0,0,0,0
69,22.002,261.6255653,17.5,0,0.0,stim_min_4,sub05,melody,0,0,1,1
70,22.265,523.2511306,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
71,22.376,523.2511306,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
72,22.5,311.1269837,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
73,22.625,261.6255653,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
74,22.751,523.2511306,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
75,23.0,391.995436,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,1
76,23.5,783.990872,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
77,24.001,523.2511306,17.5,0,0.0,stim_min_4,sub05,melody,1,1,0,1
78,24.25,293.6647679,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
79,24.501,622.2539674,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
80,24.75,523.2511306,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
81,25.0,349.2282314,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,1
82,25.25,391.995436,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
83,25.501,391.995436,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
84,26.001,261.6255653,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,1
85,26.5,587.3295358,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
86,27.0,523.2511306,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,1
87,27.501,311.1269837,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
88,27.751,349.2282314,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
89,28.0,293.6647679,17.5,0,0.0,stim_min_4,sub05,melody,1,0,0,1
90,28.751,261.6255653,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
91,29.0,783.990872,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,1
92,29.25,587.3295358,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
93,29.501,587.3295358,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
94,29.751,293.6647679,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
95,30.001,783.990872,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,1
96,30.25,698.4564629,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
97,30.5,391.995436,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
98,30.751,391.995436,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
99,31.0,830.6093952,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,1
100,31.501,523.2511306,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
101,32.0,523.2511306,17.5,0,0.0,stim_min_4,sub05,melody,0,1,0,1
102,32.751,261.6255653,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
103,33.001,415.3046976,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,1
104,33.25,698.4564629,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
105,33.501,246.9416506,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
106,33.751,587.3295358,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
107,34.001,523.2511306,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,1
108,34.501,311.1269837,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
109,35.251,349.2282314,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
110,35.501,349.2282314,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
111,35.75,391.995436,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
112,36.001,523.2511306,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,1
113,36.271,293.6647679,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
114,36.5,622.2539674,17.5,0,0.0,stim_min_4,sub05,melody,0,0,0,0
