,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
1,0.512,440.0,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
2,1.512,391.995436,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
3,2.012,349.2282314,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,1
4,2.508,349.2282314,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
5,2.758,329.6275569,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
6,3.004,349.2282314,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,1
7,3.504,440.0,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
8,4.004,293.6647679,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,1
9,4.515,391.995436,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
10,5.511,349.2282314,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
11,6.011,329.6275569,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,1
12,6.507,329.6275569,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
13,6.753,293.6647679,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
14,7.015,329.6275569,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,1
15,7.513,261.6255653,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
16,8.509,391.995436,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,1,1,0,1
17,9.006,329.6275569,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
18,9.505,440.0,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
19,10.005,293.6647679,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,1
20,10.504,329.6275569,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
21,10.75,349.2282314,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
22,11.0,391.995436,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,1
23,11.512,195.997718,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
24,12.012,261.6255653,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,1
25,12.508,293.6647679,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
26,12.758,329.6275569,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
27,13.005,349.2282314,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,1
28,14.251,391.995436,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,1
29,14.501,329.6275569,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
30,14.75,349.2282314,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
31,15.012,293.6647679,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,1
32,15.504,261.6255653,-17.5,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
33,16.505,261.6255653,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,1,1,1,1
34,16.754,293.6647679,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
35,17.001,329.6275569,1.0,1,17.016,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
36,17.251,293.6647679,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
37,17.501,261.6255653,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
38,17.751,329.6275569,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
39,18.012,293.6647679,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,1
40,18.262,349.2282314,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
41,18.512,329.6275569,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
42,19.258,391.995436,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
43,19.508,349.2282314,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
44,20.254,440.0,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
45,20.504,391.995436,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
46,20.754,349.2282314,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
47,21.004,391.995436,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,1
48,21.251,293.6647679,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
49,21.501,329.6275569,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
50,21.751,349.2282314,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
51,22.013,329.6275569,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,1
52,22.263,261.6255653,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
53,22.513,246.9416506,1.0,0,0.0,stim_maj_2,sub07,main,2024-03-01,10-09-44,0,0,0,0
