,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.016,493.8833013,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
1,0.762,493.8833013,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
2,1.009,261.6255653,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
3,1.759,783.990872,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
4,2.009,523.2511306,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
5,2.757,293.6647679,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
6,2.882,261.6255653,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
7,3.007,246.9416506,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
8,3.755,195.997718,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
9,4.005,311.1269837,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
10,4.754,349.2282314,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
11,4.879,523.2511306,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
12,5.004,622.2539674,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
13,5.376,523.2511306,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
14,5.501,311.1269837,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
15,5.889,311.1269837,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
16,6.014,261.6255653,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
17,6.388,311.1269837,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
18,6.513,261.6255653,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
19,6.888,349.2282314,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
20,7.013,261.6255653,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
21,8.04,523.2511306,1.0,1,8.415,stim_min_6,sub11,melody,2024-03-12,08-37-28,1,1,1,1
22,8.509,415.3046976,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
23,9.005,349.2282314,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
24,9.502,523.2511306,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
25,10.002,523.2511306,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
26,10.503,293.6647679,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
27,10.753,311.1269837,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
28,11.003,391.995436,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
29,11.515,587.3295358,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
30,12.008,311.1269837,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
31,12.507,207.6523488,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
32,13.003,415.3046976,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
33,13.515,246.9416506,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
34,14.015,391.995436,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
35,14.265,349.2282314,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
36,14.512,246.9416506,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
37,14.762,261.6255653,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
38,15.012,261.6255653,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
39,16.005,523.2511306,17.5,1,16.787,stim_min_6,sub11,melody,2024-03-12,08-37-28,1,1,1,1
40,17.0,523.2511306,17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
41,17.515,587.3295358,17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
42,18.015,349.2282314,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,1,0,1,1
43,18.265,349.2282314,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
44,18.512,293.6647679,1.0,1,18.777,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
45,19.262,261.6255653,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
46,19.386,391.995436,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
47,19.511,207.6523488,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
48,19.633,195.997718,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
49,19.758,587.3295358,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
50,20.008,415.3046976,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
51,20.508,261.6255653,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
52,21.008,293.6647679,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
53,21.505,440.0,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
54,22.002,415.3046976,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
55,22.512,220.0,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
56,22.762,391.995436,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
57,23.012,466.1637615,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
58,23.514,523.2511306,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
59,24.01,261.6255653,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,1,1,1
60,24.76,349.2282314,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
61,25.01,311.1269837,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,1,0,0,1
62,25.256,311.1269837,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
63,25.506,415.3046976,-17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
64,25.756,349.2282314,-17.5,1,25.772,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
65,26.003,293.6647679,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,1,1
66,26.253,195.997718,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
67,26.503,493.8833013,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
68,26.765,587.3295358,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
69,27.015,493.8833013,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
70,27.759,493.8833013,1.0,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
71,28.007,698.4564629,17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,1,1
72,28.256,195.997718,17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
73,28.506,391.995436,17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
74,28.756,207.6523488,17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
75,29.006,523.2511306,17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,1,0,0,1
76,29.254,466.1637615,17.5,1,29.452,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
77,29.514,246.9416506,17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
78,29.764,622.2539674,17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
79,30.011,523.2511306,17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
80,30.261,415.3046976,17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
81,30.511,233.0818808,17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
82,30.758,349.2282314,17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
83,31.008,261.6255653,17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,1
84,31.508,261.6255653,17.5,0,0.0,stim_min_6,sub11,melody,2024-03-12,08-37-28,0,0,0,0
