,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
1,0.512,311.1269837,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
2,1.008,261.6255653,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
3,1.508,415.3046976,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
4,2.008,415.3046976,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
5,2.504,391.995436,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
6,2.879,493.8833013,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
7,3.004,523.2511306,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
8,3.504,349.2282314,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
9,4.015,349.2282314,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
10,4.512,311.1269837,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
11,4.887,493.8833013,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
12,5.012,523.2511306,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
13,5.512,293.6647679,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
14,6.012,311.1269837,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
15,6.168,349.2282314,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
16,6.34,391.995436,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
17,6.508,349.2282314,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
18,6.68,311.1269837,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
19,6.836,293.6647679,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
20,7.008,261.6255653,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
21,8.505,391.995436,1.0,1,8.974,stim_min_2,sub12,main,2024-03-13,19-17-29,1,1,1,1
22,9.001,261.6255653,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
23,9.509,261.6255653,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
24,10.009,261.6255653,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
25,10.505,415.3046976,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
26,10.755,349.2282314,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
27,11.005,246.9416506,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
28,11.505,246.9416506,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
29,12.001,246.9416506,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
30,12.267,261.6255653,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
31,12.501,293.6647679,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
32,12.763,311.1269837,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
33,13.013,349.2282314,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
34,13.259,311.1269837,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
35,13.509,293.6647679,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
36,13.759,311.1269837,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
37,14.009,349.2282314,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
38,14.259,415.3046976,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
39,14.505,391.995436,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
40,14.755,349.2282314,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
41,15.005,311.1269837,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
42,16.001,523.2511306,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,1,1,0,1
43,16.251,587.3295358,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
44,16.501,493.8833013,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
45,16.763,523.2511306,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
46,17.013,440.0,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
47,17.509,880.0,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
48,18.009,830.6093952,17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,1,1
49,18.259,880.0,17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
50,18.509,739.9888454,17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
51,18.755,830.6093952,17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
52,19.005,659.2551138,17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,1,0,0,1
53,19.501,880.0,17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
54,19.751,659.2551138,17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
55,20.011,698.4564629,17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
56,20.511,587.3295358,17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
57,21.007,391.995436,17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
58,21.503,783.990872,17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
59,22.003,659.2551138,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,1,0,1,1
60,22.253,698.4564629,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
61,22.503,587.3295358,1.0,1,22.702,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
62,22.764,659.2551138,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
63,23.014,523.2511306,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
64,24.512,261.6255653,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,1,1,1,1
65,25.009,261.6255653,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
66,25.506,261.6255653,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
67,26.006,293.6647679,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
68,26.506,293.6647679,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
69,27.013,293.6647679,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,1,0,1,1
70,27.263,311.1269837,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
71,27.513,349.2282314,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
72,27.762,293.6647679,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
73,28.012,311.1269837,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
74,28.509,293.6647679,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
75,28.758,311.1269837,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
76,29.008,261.6255653,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
77,29.501,293.6647679,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
78,30.001,311.1269837,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
79,30.266,293.6647679,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
80,30.501,311.1269837,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
81,30.751,349.2282314,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
82,31.013,391.995436,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
83,32.51,261.6255653,17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,1,1,1
84,33.01,261.6255653,17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
85,33.51,261.6255653,17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
86,34.006,311.1269837,17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
87,35.502,293.6647679,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,1,1
88,35.752,261.6255653,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
89,36.002,293.6647679,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
90,36.514,195.997718,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
91,37.014,391.995436,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
92,38.51,369.9944227,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
93,38.76,440.0,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
94,39.006,391.995436,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
95,40.002,261.6255653,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,1,0,1
96,41.01,391.995436,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
97,42.006,311.1269837,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
98,43.506,293.6647679,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
99,44.006,261.6255653,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
100,44.502,311.1269837,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
101,45.001,293.6647679,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
102,45.51,261.6255653,1.0,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
103,46.006,246.9416506,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,1,0,1,1
104,46.502,220.0,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,0
105,47.002,195.997718,-17.5,0,0.0,stim_min_2,sub12,main,2024-03-13,19-17-29,0,0,0,1
