,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
1,0.266,261.6255653,-17.5,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
2,0.515,329.6275569,-17.5,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
3,0.751,391.995436,-17.5,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
4,1.001,523.2511306,-17.5,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,1
5,1.251,659.2551138,-17.5,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
6,1.501,783.990872,-17.5,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
7,1.751,1046.502261,-17.5,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
8,2.251,1046.502261,-17.5,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
9,2.513,987.7666025,-17.5,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
10,2.763,880.0,-17.5,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
11,3.013,987.7666025,-17.5,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,1
12,3.261,1174.659072,-17.5,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
13,3.511,783.990872,-17.5,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
14,3.761,880.0,-17.5,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
15,4.011,932.327523,1.0,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,1,0,1,1
16,4.261,783.990872,1.0,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
17,4.511,659.2551138,1.0,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
18,4.761,523.2511306,1.0,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
19,5.011,440.0,1.0,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,1
20,5.261,523.2511306,1.0,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
21,5.507,698.4564629,1.0,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
22,5.757,440.0,1.0,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
23,6.007,523.2511306,1.0,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,1
24,6.257,698.4564629,1.0,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
25,6.507,659.2551138,1.0,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
26,6.757,587.3295358,1.0,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
27,7.005,523.2511306,1.0,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,1
28,7.251,587.3295358,1.0,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
29,7.501,523.2511306,1.0,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,0,0,0
30,8.0,261.6255653,1.0,0,0,stim_maj_5,sub16_eeg,main,2024-03-27,11-11-48,0,1,0,1
