,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,0
1,0.516,440.0,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,0
2,1.512,391.995436,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,0
3,2.012,349.2282314,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,1
4,2.509,349.2282314,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,0
5,2.756,329.6275569,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,0
6,3.006,349.2282314,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,1
7,3.502,440.0,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,0
8,4.014,293.6647679,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,1
9,4.514,391.995436,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,0
10,5.51,349.2282314,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,0
11,6.01,329.6275569,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,1
12,6.506,329.6275569,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,0
13,6.757,293.6647679,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,0
14,7.007,329.6275569,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,1,1
15,7.503,261.6255653,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,0
16,8.5,391.995436,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,1,1,0,1
17,9.001,329.6275569,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,0
18,9.506,440.0,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,0
19,10.006,293.6647679,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,1,1
20,10.503,329.6275569,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,0
21,10.762,349.2282314,1,0,0,stim_maj_2,sub21,blank,2024-04-09,17-39-31,0,0,0,0
