,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.016,349.2282314,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
1,0.262,391.995436,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
2,0.512,329.6275569,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
3,0.75,293.6647679,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
4,1.008,783.990872,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,1
5,1.258,523.2511306,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
6,1.508,391.995436,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
7,1.758,880.0,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
8,2.252,195.997718,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
9,2.502,523.2511306,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
10,2.752,293.6647679,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
11,3.014,261.6255653,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,1
12,3.264,391.995436,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
13,3.514,783.990872,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
14,3.764,880.0,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
15,4.014,329.6275569,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,1
16,4.251,391.995436,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
17,4.511,329.6275569,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
18,4.761,523.2511306,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
19,5.011,220.0,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,1
20,5.261,587.3295358,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
21,5.511,329.6275569,-17.5,0,0.0,stim_maj_5,sub23,melody,2024-04-18,11-07-15,0,0,0,0
