,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.016,391.995436,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
1,0.762,523.2511306,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
2,1.012,415.3046976,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
3,1.759,415.3046976,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
4,2.009,391.995436,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
5,2.755,349.2282314,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
6,2.88,293.6647679,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
7,3.005,311.1269837,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
8,3.752,391.995436,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
9,4.002,391.995436,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
10,4.764,415.3046976,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
11,4.887,391.995436,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
12,5.012,349.2282314,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
13,5.387,311.1269837,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
14,5.512,293.6647679,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
15,5.884,261.6255653,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
16,6.009,246.9416506,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
17,6.384,220.0,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
18,6.509,195.997718,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
19,6.884,174.6141157,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
20,7.009,261.6255653,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
21,8.006,523.2511306,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,1,1,1
22,8.503,391.995436,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
23,9.0,523.2511306,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
24,9.512,391.995436,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
25,10.009,415.3046976,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
26,10.506,415.3046976,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
27,10.756,391.995436,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
28,11.006,349.2282314,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,1,1
29,11.506,415.3046976,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
30,12.015,391.995436,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
31,12.515,349.2282314,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
32,13.012,311.1269837,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
33,13.511,293.6647679,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
34,14.008,349.2282314,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
35,14.258,311.1269837,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
36,14.504,293.6647679,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
37,14.754,311.1269837,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
38,15.004,261.6255653,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,1,1
39,16.005,523.2511306,1,1,16.58,stim_min_6,sub29,blank,2024-05-23,18-13-14,1,1,0,1
40,17.001,493.8833013,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
41,17.514,587.3295358,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
42,18.014,523.2511306,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
43,18.261,493.8833013,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
44,18.503,523.2511306,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
45,19.253,523.2511306,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
46,19.378,587.3295358,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
47,19.5,622.2539674,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
48,19.625,698.4564629,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
49,19.75,783.990872,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
50,20.014,830.6093952,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,1,1
51,20.51,698.4564629,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
52,21.01,587.3295358,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
53,21.507,523.2511306,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
54,22.007,493.8833013,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
55,22.504,440.0,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
56,22.754,391.995436,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
57,23.004,493.8833013,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
58,23.503,523.2511306,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
59,24.0,261.6255653,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,1,0,1
60,24.752,293.6647679,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
61,25.047,311.1269837,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,1,0,1,1
62,25.266,349.2282314,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
63,25.501,391.995436,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
64,25.751,415.3046976,1,1,25.767,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
65,26.001,246.9416506,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
66,26.251,415.3046976,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
67,26.513,391.995436,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
68,26.763,349.2282314,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
69,27.008,587.3295358,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
70,27.755,349.2282314,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
71,28.005,349.2282314,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,1,0,0,1
72,28.255,246.9416506,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
73,28.501,261.6255653,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
74,28.751,195.997718,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
75,29.011,207.6523488,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,1,1
76,29.261,261.6255653,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
77,29.508,311.1269837,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
78,29.758,349.2282314,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
79,30.008,246.9416506,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
80,30.258,195.997718,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
81,30.508,246.9416506,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
82,30.755,293.6647679,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
83,31.005,261.6255653,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
84,31.505,261.6255653,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
85,32.005,391.995436,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,1,1,0,1
86,32.502,415.3046976,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
87,32.764,391.995436,1,1,32.967,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
88,33.014,349.2282314,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
89,33.264,311.1269837,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
90,33.511,293.6647679,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
91,33.761,261.6255653,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
92,34.011,261.6255653,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
93,34.261,246.9416506,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
94,34.511,261.6255653,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
95,34.758,293.6647679,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
96,35.008,391.995436,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
97,35.508,415.3046976,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
98,35.755,349.2282314,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
99,36.005,311.1269837,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
100,36.252,391.995436,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
101,36.502,523.2511306,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
102,36.752,311.1269837,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,0
103,37.015,293.6647679,1,0,0.0,stim_min_6,sub29,blank,2024-05-23,18-13-14,0,0,0,1
