,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,date,hour,visual_cue,boundary,loc_change,changable_notes
0,0.516,523.2511306,-17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
1,0.765,493.8833013,-17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
2,1.015,523.2511306,1.0,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,1,1
3,1.262,587.3295358,1.0,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
4,1.512,622.2539674,1.0,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
5,1.75,391.995436,1.0,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
6,2.01,415.3046976,1.0,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,1
7,2.259,466.1637615,1.0,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
8,2.506,415.3046976,1.0,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
9,2.756,349.2282314,1.0,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
10,3.006,698.4564629,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,1,0,1,1
11,3.256,622.2539674,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
12,3.506,587.3295358,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
13,3.756,523.2511306,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
14,4.006,493.8833013,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,1
15,4.253,830.6093952,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
16,4.502,783.990872,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
17,4.752,698.4564629,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
18,5.002,622.2539674,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,1
19,5.252,587.3295358,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
20,5.501,523.2511306,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
21,5.751,493.8833013,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
22,6.001,523.2511306,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,1
23,6.263,587.3295358,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
24,6.513,622.2539674,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
25,6.885,587.3295358,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
26,7.0,523.2511306,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,1
27,7.132,587.3295358,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
28,7.257,523.2511306,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
29,8.254,523.2511306,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,1,0,1
30,8.504,493.8833013,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
31,8.754,523.2511306,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
32,9.004,391.995436,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,1
33,9.516,622.2539674,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
34,10.265,587.3295358,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
35,10.515,523.2511306,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
36,10.762,587.3295358,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
37,11.012,391.995436,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,1
38,11.508,698.4564629,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
39,12.255,622.2539674,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
40,12.505,587.3295358,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
41,12.755,523.2511306,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
42,13.005,783.990872,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,1
43,13.502,523.2511306,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
44,14.001,698.4564629,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,1
45,14.251,622.2539674,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
46,14.501,587.3295358,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
47,14.763,493.8833013,17.5,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
48,15.013,493.8833013,1.0,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,1,0,1,1
49,15.263,523.2511306,1.0,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
50,16.015,261.6255653,1.0,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,1,0,1
51,16.512,293.6647679,1.0,0,0,stim_min_3,sub29_eeg,main,2024-05-22,14-29-41,0,0,0,0
