,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,0
1,0.516,493.8833013,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,0
2,0.763,523.2511306,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,0
3,1.013,391.995436,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,1
4,1.513,415.3046976,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,0
5,1.763,523.2511306,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,1
6,2.013,493.8833013,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,0
7,3.001,523.2511306,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,0
8,3.512,587.3295358,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,1
9,3.762,391.995436,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,0
10,4.009,523.2511306,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,1
11,5.008,493.8833013,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,0
12,6.505,523.2511306,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,0
13,7.005,587.3295358,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,1
14,7.505,349.2282314,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,0
15,7.677,391.995436,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,0
16,8.177,415.3046976,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,1
17,8.667,391.995436,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,0
18,9.168,349.2282314,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,0
19,10.679,311.1269837,-17.5,0,0.0,stim_min_1,p_,rhythm,0,0,0,1
20,11.672,261.6255653,1.0,0,0.0,stim_min_1,p_,rhythm,1,1,1,1
21,12.681,391.995436,1.0,0,0.0,stim_min_1,p_,rhythm,0,0,0,1
22,13.18,415.3046976,1.0,0,0.0,stim_min_1,p_,rhythm,0,0,0,0
23,13.676,391.995436,1.0,0,0.0,stim_min_1,p_,rhythm,0,0,0,1
24,14.176,349.2282314,1.0,0,0.0,stim_min_1,p_,rhythm,0,0,0,1
25,15.17,311.1269837,1.0,0,0.0,stim_min_1,p_,rhythm,0,0,0,1
26,16.18,349.2282314,1.0,0,0.0,stim_min_1,p_,rhythm,0,0,0,0
27,16.674,391.995436,1.0,0,0.0,stim_min_1,p_,rhythm,0,0,0,1
