,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
1,0.513,293.6647679,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
2,1.013,329.6275569,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
3,2.503,349.2282314,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
4,3.003,391.995436,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
5,3.253,349.2282314,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
6,3.503,329.6275569,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
7,4.003,440.0,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
8,4.502,293.6647679,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
9,4.765,391.995436,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
10,5.5,440.0,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
11,6.0,391.995436,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
12,6.501,349.2282314,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
13,6.638,329.6275569,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
14,7.132,349.2282314,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
15,7.382,329.6275569,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
16,7.632,293.6647679,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
17,7.757,261.6255653,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
18,9.266,391.995436,-17.5,0,0.0,stim_maj_1,p_A,rhythm,1,1,0,1
19,9.757,440.0,-17.5,1,9.882,stim_maj_1,p_A,rhythm,0,0,0,0
20,10.25,391.995436,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
21,11.264,349.2282314,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
22,11.512,391.995436,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
23,12.012,659.2551138,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
24,12.259,523.2511306,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
25,12.759,391.995436,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
26,13.006,349.2282314,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
27,13.506,329.6275569,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
28,13.753,349.2282314,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
29,14.003,587.3295358,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
30,14.503,329.6275569,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
31,14.753,523.2511306,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
32,15.265,293.6647679,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
33,15.515,493.8833013,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
34,15.765,523.2511306,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
35,16.762,261.6255653,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,1,1,1
36,16.887,293.6647679,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
37,17.384,329.6275569,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
38,17.631,349.2282314,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
39,18.631,329.6275569,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
40,18.88,293.6647679,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
41,19.127,329.6275569,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
42,19.64,261.6255653,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
43,19.89,440.0,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
44,20.389,440.0,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
45,20.639,391.995436,17.5,0,0.0,stim_maj_1,p_A,rhythm,1,0,1,1
46,20.889,349.2282314,17.5,1,21.323,stim_maj_1,p_A,rhythm,0,0,0,0
47,21.636,329.6275569,17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
48,22.382,349.2282314,17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
49,22.882,329.6275569,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,1,1
50,23.134,293.6647679,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
51,23.259,261.6255653,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
52,23.509,195.997718,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
53,23.756,261.6255653,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
54,24.256,293.6647679,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
55,24.753,329.6275569,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
56,25.003,293.6647679,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
57,25.514,261.6255653,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
58,26.506,391.995436,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,1,1,1
59,26.756,329.6275569,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
60,27.006,293.6647679,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
61,27.253,329.6275569,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
62,28.252,261.6255653,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
63,28.502,349.2282314,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
64,28.75,329.6275569,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
65,29.0,349.2282314,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
66,29.25,440.0,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
67,29.513,391.995436,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
68,30.26,369.9944227,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
69,30.759,293.6647679,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
70,31.256,523.2511306,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
71,31.506,493.8833013,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
72,32.006,440.0,1.0,0,0.0,stim_maj_1,p_A,rhythm,1,0,1,1
73,32.256,391.995436,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
74,32.505,587.3295358,1.0,1,32.643,stim_maj_1,p_A,rhythm,0,0,0,0
75,33.002,493.8833013,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
76,33.514,440.0,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
77,34.011,493.8833013,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
78,34.261,391.995436,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
79,34.761,523.2511306,1.0,0,0.0,stim_maj_1,p_A,rhythm,1,1,0,1
80,35.261,493.8833013,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
81,36.763,523.2511306,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
82,37.263,493.8833013,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
83,37.756,440.0,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
84,38.005,391.995436,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
85,38.127,349.2282314,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
86,38.252,391.995436,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
87,38.765,440.0,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
88,38.89,391.995436,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
89,39.14,349.2282314,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
90,39.637,329.6275569,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
91,40.133,293.6647679,17.5,0,0.0,stim_maj_1,p_A,rhythm,1,1,1,1
92,40.633,391.995436,17.5,1,40.781,stim_maj_1,p_A,rhythm,0,0,0,0
93,40.88,329.6275569,17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
94,41.14,261.6255653,17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
95,41.64,261.6255653,1.0,0,0.0,stim_maj_1,p_A,rhythm,1,1,1,1
96,42.137,391.995436,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
97,43.088,329.6275569,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
98,43.206,261.6255653,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
99,43.456,440.0,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
100,43.95,349.2282314,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
101,44.075,391.995436,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
102,44.575,391.995436,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,1
103,44.825,349.2282314,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
104,45.336,329.6275569,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
105,45.461,349.2282314,1.0,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
106,45.962,391.995436,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,1,1
107,46.209,440.0,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
108,46.459,493.8833013,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
109,46.709,391.995436,-17.5,0,0.0,stim_maj_1,p_A,rhythm,0,0,0,0
