,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,349.2282314,-17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,0
1,0.266,391.995436,-17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,0
2,0.512,391.995436,-17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,0
3,1.012,261.6255653,-17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,1
4,1.506,311.1269837,-17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,0
5,2.006,349.2282314,-17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,1
6,2.256,391.995436,-17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,0
7,2.506,293.6647679,-17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,0
8,3.002,261.6255653,-17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,1
9,3.502,523.2511306,-17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,0
10,4.002,293.6647679,1.0,0,0.0,stim_min_1,p_A,melody,0,0,1,1
11,4.252,493.8833013,1.0,0,0.0,stim_min_1,p_A,melody,0,0,0,0
12,4.502,391.995436,1.0,0,0.0,stim_min_1,p_A,melody,0,0,0,0
13,5.014,261.6255653,1.0,0,0.0,stim_min_1,p_A,melody,0,0,0,1
14,5.51,293.6647679,1.0,0,0.0,stim_min_1,p_A,melody,0,0,0,0
15,5.756,349.2282314,1.0,0,0.0,stim_min_1,p_A,melody,0,0,0,0
16,6.006,493.8833013,1.0,0,0.0,stim_min_1,p_A,melody,0,0,0,1
17,6.256,311.1269837,1.0,0,0.0,stim_min_1,p_A,melody,0,0,0,0
18,6.506,293.6647679,1.0,0,0.0,stim_min_1,p_A,melody,0,0,0,0
19,7.014,311.1269837,1.0,0,0.0,stim_min_1,p_A,melody,1,0,0,1
20,8.014,261.6255653,17.5,0,0.0,stim_min_1,p_A,melody,0,1,1,1
21,9.009,311.1269837,17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,1
22,10.505,415.3046976,17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,0
23,11.01,261.6255653,17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,1
24,11.51,369.9944227,17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,1
25,12.006,246.9416506,17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,1
26,12.506,311.1269837,17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,0
27,13.006,349.2282314,17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,1
28,13.505,246.9416506,17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,0
29,14.01,293.6647679,17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,1
30,15.007,261.6255653,17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,1
31,16.016,391.995436,17.5,0,0.0,stim_min_1,p_A,melody,1,1,0,1
32,17.014,261.6255653,17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,1
33,18.01,349.2282314,17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,1
34,19.007,391.995436,17.5,0,0.0,stim_min_1,p_A,melody,0,0,0,1
35,20.003,246.9416506,1.0,0,0.0,stim_min_1,p_A,melody,0,0,1,1
36,21.011,311.1269837,1.0,0,0.0,stim_min_1,p_A,melody,0,0,0,1
