,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
1,0.504,493.8833013,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
2,1.001,523.2511306,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
3,1.513,391.995436,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
4,2.013,415.3046976,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
5,2.514,523.2511306,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
6,3.011,493.8833013,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
7,3.261,523.2511306,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
8,4.257,587.3295358,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
9,4.756,391.995436,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
10,5.253,523.2511306,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
11,5.421,493.8833013,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
12,5.671,523.2511306,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
13,5.921,587.3295358,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
14,6.421,349.2282314,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
15,6.763,391.995436,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
16,7.01,415.3046976,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,1,0,0,1
17,7.182,391.995436,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
18,7.338,349.2282314,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
19,7.838,311.1269837,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
20,8.845,261.6255653,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,1,1,1,1
21,9.842,391.995436,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
22,10.342,415.3046976,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
23,10.589,391.995436,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
24,10.835,349.2282314,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
25,11.098,311.1269837,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,1,0,0,1
26,12.095,349.2282314,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
27,12.595,391.995436,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
28,13.094,293.6647679,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
29,13.341,246.9416506,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,1,0,1,1
30,13.838,261.6255653,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
31,14.836,391.995436,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,1,0,1
32,15.846,415.3046976,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
33,16.342,391.995436,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
34,16.842,369.9944227,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
35,17.343,493.8833013,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
36,18.84,523.2511306,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
37,19.009,349.2282314,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
38,19.505,311.1269837,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
39,21.002,391.995436,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,1,1,0,1
40,21.502,415.3046976,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
41,21.843,261.6255653,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
42,22.343,246.9416506,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
43,22.514,261.6255653,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,1,1
44,23.011,293.6647679,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
45,23.508,311.1269837,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
46,24.005,349.2282314,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
47,25.0,311.1269837,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
48,26.008,293.6647679,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
49,26.505,311.1269837,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,1,0,1,1
50,27.502,261.6255653,-17.5,1,27.968,stim_min_1,p_Eddie,rhythm,0,0,0,1
51,28.512,261.6255653,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,1,0,1
52,29.511,246.9416506,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
53,30.008,261.6255653,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
54,30.51,293.6647679,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
55,30.682,311.1269837,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
56,30.932,293.6647679,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
57,31.088,261.6255653,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
58,31.585,369.9944227,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
59,32.545,391.995436,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
60,32.698,233.0818808,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
61,32.948,261.6255653,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
62,33.463,261.6255653,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
63,33.961,293.6647679,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,1,1
64,34.461,293.6647679,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
65,34.711,195.997718,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
66,35.707,261.6255653,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,1,1,1
67,36.203,293.6647679,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
68,36.453,311.1269837,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
69,36.953,311.1269837,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
70,37.453,293.6647679,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
71,37.95,311.1269837,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
72,38.463,349.2282314,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
73,38.712,391.995436,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
74,39.212,349.2282314,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
75,39.459,311.1269837,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
76,39.709,349.2282314,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
77,41.203,391.995436,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
78,42.199,415.3046976,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
79,42.449,246.9416506,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
80,42.961,195.997718,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
81,43.211,195.997718,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
82,43.708,220.0,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
83,43.958,246.9416506,17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
84,44.208,261.6255653,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,1,0,1,1
85,45.199,391.995436,1.0,1,45.293,stim_min_1,p_Eddie,rhythm,0,1,0,1
86,45.699,311.1269837,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
87,46.71,349.2282314,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
88,47.212,391.995436,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
89,47.708,261.6255653,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
90,48.205,349.2282314,1.0,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
91,49.199,311.1269837,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,1,0,1,1
92,50.198,293.6647679,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
93,50.711,311.1269837,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
94,51.707,349.2282314,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
95,51.957,311.1269837,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
96,52.207,293.6647679,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
97,52.532,311.1269837,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
98,53.044,261.6255653,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,1
99,53.544,246.9416506,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
100,54.044,261.6255653,-17.5,0,0.0,stim_min_1,p_Eddie,rhythm,0,0,0,0
