,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,261.6255653,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
1,0.266,293.6647679,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,1
2,0.762,329.6275569,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
3,1.512,349.2282314,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,1
4,1.762,391.995436,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
5,2.709,349.2282314,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
6,3.709,329.6275569,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,1
7,3.959,440.0,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
8,4.203,293.6647679,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,1
9,4.699,391.995436,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
10,6.199,440.0,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
11,6.711,391.995436,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
12,7.208,349.2282314,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
13,7.458,329.6275569,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,1
14,7.698,349.2282314,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
15,7.83,329.6275569,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
16,8.33,293.6647679,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
17,8.583,261.6255653,-17.5,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,1
18,10.081,391.995436,1.0,0,0.0,stim_maj_1,p_Fredor,rhythm,1,1,1,1
19,10.581,440.0,1.0,1,10.718,stim_maj_1,p_Fredor,rhythm,0,0,0,0
20,10.827,391.995436,1.0,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
21,11.077,349.2282314,1.0,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
22,11.825,391.995436,1.0,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
23,12.075,659.2551138,1.0,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,1
24,12.337,523.2511306,1.0,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
25,12.574,391.995436,1.0,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,1
26,13.084,349.2282314,1.0,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
27,13.331,329.6275569,1.0,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,0
28,13.456,349.2282314,1.0,0,0.0,stim_maj_1,p_Fredor,rhythm,0,0,0,1
