,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
1,0.512,493.8833013,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
2,1.012,523.2511306,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
3,1.262,391.995436,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
4,1.762,415.3046976,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
5,2.262,523.2511306,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
6,2.512,493.8833013,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
7,3.012,523.2511306,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
8,3.168,587.3295358,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
9,4.18,391.995436,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
10,4.336,523.2511306,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
11,4.586,493.8833013,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
12,4.754,523.2511306,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
13,5.254,587.3295358,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
14,6.766,349.2282314,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
15,7.265,391.995436,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
16,8.261,415.3046976,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
17,8.76,391.995436,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
18,9.26,349.2282314,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
19,10.256,311.1269837,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
20,11.256,261.6255653,1.0,1,11.954,stim_min_1,p_Fredor,rhythm,1,1,1,1
21,12.251,391.995436,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
22,13.2,415.3046976,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
23,13.7,391.995436,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
24,13.962,349.2282314,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
25,14.211,311.1269837,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,1,0,0,1
26,14.711,349.2282314,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
27,14.879,391.995436,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,1,1
28,15.129,293.6647679,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
29,15.375,246.9416506,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
30,15.625,261.6255653,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
31,16.615,391.995436,17.5,1,17.244,stim_min_1,p_Fredor,rhythm,1,1,0,1
32,17.619,415.3046976,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
33,18.13,391.995436,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
34,18.38,369.9944227,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
35,18.878,493.8833013,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
36,19.374,523.2511306,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
37,19.624,349.2282314,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,1,1
38,19.796,311.1269837,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
39,21.286,391.995436,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,1,1,1
40,21.787,415.3046976,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
41,22.284,261.6255653,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
42,22.796,246.9416506,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
43,23.294,261.6255653,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
44,23.791,293.6647679,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
45,24.288,311.1269837,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
46,24.538,349.2282314,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
47,24.788,311.1269837,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
48,25.285,293.6647679,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
49,25.627,311.1269837,-17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
50,26.623,261.6255653,-17.5,1,27.374,stim_min_1,p_Fredor,rhythm,1,0,0,1
51,27.621,261.6255653,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,1,1,1
52,28.617,246.9416506,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
53,29.63,261.6255653,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
54,29.88,293.6647679,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
55,30.115,311.1269837,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,1,0,1,1
56,30.376,293.6647679,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
57,30.876,261.6255653,17.5,1,30.923,stim_min_1,p_Fredor,rhythm,0,0,0,1
58,31.126,369.9944227,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
59,32.123,391.995436,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
60,32.295,233.0818808,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
61,32.791,261.6255653,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
62,33.037,261.6255653,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
63,33.287,293.6647679,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,1,0,0,1
64,33.787,293.6647679,17.5,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
65,34.287,195.997718,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,1,1
66,35.293,261.6255653,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,1,1,0,1
67,35.787,293.6647679,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
68,36.287,311.1269837,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
69,36.537,311.1269837,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
70,37.545,293.6647679,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
71,38.542,311.1269837,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,1,0,0,1
72,39.042,349.2282314,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
73,40.034,391.995436,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
74,40.546,349.2282314,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
75,41.046,311.1269837,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
76,41.543,349.2282314,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
77,42.543,391.995436,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,1
78,43.04,415.3046976,1.0,0,0.0,stim_min_1,p_Fredor,rhythm,0,0,0,0
