,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
1,0.504,493.8833013,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
2,0.758,523.2511306,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
3,1.262,391.995436,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
4,2.254,415.3046976,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
5,2.512,523.2511306,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
6,3.503,493.8833013,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
7,3.754,523.2511306,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
8,4.256,587.3295358,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,1,0,1,1
9,5.763,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
10,5.92,523.2511306,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
11,6.422,493.8833013,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
12,6.674,523.2511306,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
13,7.176,587.3295358,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
14,7.428,349.2282314,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
15,7.586,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
16,8.094,415.3046976,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
17,9.086,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
18,9.589,349.2282314,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
19,9.765,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
20,10.757,261.6255653,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,1,1,0,1
21,11.764,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
22,12.756,415.3046976,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
23,13.254,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,1,0,0,1
24,13.503,349.2282314,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
25,13.757,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
26,14.006,349.2282314,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
27,14.51,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
28,15.013,293.6647679,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
29,15.501,246.9416506,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
30,16.005,261.6255653,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,1,1
31,17.012,391.995436,17.5,1,17.931,stim_min_1,p_Rupert,rhythm,1,1,0,1
32,18.004,415.3046976,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
33,18.508,391.995436,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
34,19.011,369.9944227,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
35,19.515,493.8833013,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,1,0,1,1
36,20.003,523.2511306,1.0,1,20.273,stim_min_1,p_Rupert,rhythm,0,0,0,1
37,20.346,349.2282314,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
38,20.834,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,1,0,0,1
39,22.344,391.995436,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,1,1,1
40,22.848,415.3046976,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
41,23.009,261.6255653,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
42,23.513,246.9416506,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
43,24.001,261.6255653,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
44,25.008,293.6647679,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,1,0,1,1
45,25.263,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
46,25.751,349.2282314,1.0,1,25.767,stim_min_1,p_Rupert,rhythm,0,0,0,1
47,26.255,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
48,26.758,293.6647679,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
49,27.262,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
50,27.766,261.6255653,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
51,28.757,261.6255653,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,1,1,1,1
52,29.765,246.9416506,17.5,1,29.781,stim_min_1,p_Rupert,rhythm,0,0,0,1
53,30.253,261.6255653,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
54,30.757,293.6647679,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
55,31.26,311.1269837,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
56,32.252,293.6647679,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
57,32.591,261.6255653,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
58,33.095,369.9944227,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
59,33.347,391.995436,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
60,33.504,233.0818808,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
61,34.509,261.6255653,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
62,34.681,261.6255653,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
63,34.838,293.6647679,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
64,35.341,293.6647679,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
65,35.592,195.997718,17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
66,36.598,261.6255653,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,1,1,1
67,37.085,293.6647679,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
68,37.337,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
69,37.588,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
70,38.092,293.6647679,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
71,38.589,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
72,38.839,349.2282314,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
73,39.093,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
74,39.342,349.2282314,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
75,39.846,311.1269837,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
76,41.341,349.2282314,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
77,41.596,391.995436,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
78,42.588,415.3046976,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
79,43.086,246.9416506,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
80,43.262,195.997718,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
81,43.511,195.997718,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
82,44.015,220.0,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
83,44.514,246.9416506,1.0,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
84,44.68,261.6255653,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,1,1
85,45.671,391.995436,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,1,0,1
86,46.175,311.1269837,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
87,46.679,349.2282314,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
88,47.671,391.995436,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
89,47.919,261.6255653,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
90,48.87,349.2282314,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
91,49.118,311.1269837,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,1
92,49.461,293.6647679,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
93,49.71,311.1269837,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
94,50.198,349.2282314,-17.5,0,0.0,stim_min_1,p_Rupert,rhythm,0,0,0,0
