,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.513,261.6255653,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
1,1.012,293.6647679,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
2,1.512,329.6275569,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
3,2.012,349.2282314,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
4,2.758,391.995436,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
5,2.883,349.2282314,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
6,3.008,329.6275569,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
7,3.508,440.0,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
8,4.008,293.6647679,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
9,4.508,391.995436,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
10,5.254,440.0,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
11,5.504,391.995436,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
12,5.754,349.2282314,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
13,6.004,329.6275569,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
14,6.254,349.2282314,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
15,6.504,329.6275569,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
16,6.753,293.6647679,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
17,7.003,261.6255653,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
18,8.56,391.995436,1.0,0,0.0,stim_maj_1,p_Simon,main,1,1,1,1
19,9.009,440.0,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
20,9.255,391.995436,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
21,9.505,349.2282314,1.0,1,9.736,stim_maj_1,p_Simon,main,0,0,0,0
22,9.752,391.995436,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
23,10.002,659.2551138,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
24,10.502,523.2511306,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
25,11.01,391.995436,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
26,11.51,349.2282314,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
27,11.759,329.6275569,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
28,12.006,349.2282314,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
29,12.505,587.3295358,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
30,13.002,329.6275569,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
31,13.513,523.2511306,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
32,14.013,293.6647679,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
33,14.51,493.8833013,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
34,15.006,523.2511306,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
35,16.002,261.6255653,17.5,0,0.0,stim_maj_1,p_Simon,main,0,1,1,1
36,16.139,293.6647679,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
37,16.264,329.6275569,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
38,16.389,349.2282314,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
39,16.514,329.6275569,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
40,16.639,293.6647679,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
41,16.764,329.6275569,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
42,16.889,261.6255653,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
43,17.014,440.0,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
44,17.758,440.0,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
45,18.008,391.995436,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
46,18.756,349.2282314,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
47,19.019,329.6275569,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,1,1
48,19.75,349.2282314,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
49,20.016,329.6275569,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
50,20.762,293.6647679,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
51,21.012,261.6255653,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
52,21.509,195.997718,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
53,22.009,261.6255653,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
54,22.259,293.6647679,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
55,22.508,329.6275569,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
56,22.758,293.6647679,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
57,23.019,261.6255653,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
58,24.016,391.995436,-17.5,0,0.0,stim_maj_1,p_Simon,main,1,1,1,1
59,24.253,329.6275569,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
60,24.503,293.6647679,-17.5,1,24.519,stim_maj_1,p_Simon,main,0,0,0,0
61,24.753,329.6275569,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
62,25.003,261.6255653,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
63,25.253,349.2282314,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
64,25.515,329.6275569,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
65,25.765,349.2282314,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
66,26.015,440.0,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
67,26.515,391.995436,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
68,27.512,369.9944227,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
69,27.759,293.6647679,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
70,28.009,523.2511306,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
71,28.506,493.8833013,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
72,29.018,440.0,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
73,30.016,391.995436,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
74,30.251,587.3295358,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
75,30.501,493.8833013,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
76,30.751,440.0,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
77,31.001,493.8833013,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
78,31.513,391.995436,-17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
79,32.01,523.2511306,1.0,0,0.0,stim_maj_1,p_Simon,main,0,1,1,1
80,32.507,493.8833013,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
81,33.007,523.2511306,1.0,0,0.0,stim_maj_1,p_Simon,main,1,0,0,1
82,33.507,493.8833013,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
83,33.757,440.0,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
84,34.007,391.995436,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
85,34.756,349.2282314,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
86,34.881,391.995436,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
87,35.002,440.0,1.0,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
88,36.511,391.995436,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,1,1
89,37.012,349.2282314,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
90,37.512,329.6275569,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
91,38.008,293.6647679,17.5,0,0.0,stim_maj_1,p_Simon,main,1,1,0,1
92,38.508,391.995436,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
93,39.008,329.6275569,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
94,39.504,261.6255653,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
95,40.001,261.6255653,17.5,0,0.0,stim_maj_1,p_Simon,main,0,1,0,1
96,40.513,391.995436,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,0
97,41.009,329.6275569,17.5,0,0.0,stim_maj_1,p_Simon,main,0,0,0,1
