,time,frequencies,channel,answer,prec_time,stimulus,subject,condition,visual_cue,boundary,loc_change,changable_notes
0,0.016,523.2511306,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
1,0.266,493.8833013,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
2,0.516,523.2511306,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
3,1.015,391.995436,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
4,1.5,415.3046976,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
5,2.012,523.2511306,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
6,2.262,493.8833013,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
7,2.512,523.2511306,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
8,3.009,587.3295358,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
9,3.509,391.995436,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
10,4.004,523.2511306,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
11,4.253,493.8833013,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
12,4.5,523.2511306,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
13,5.0,587.3295358,1.0,0,0.0,stim_min_1,p_Simon,main,1,0,1,1
14,5.5,349.2282314,1.0,1,5.625,stim_min_1,p_Simon,main,0,0,0,0
15,5.763,391.995436,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
16,6.01,415.3046976,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
17,6.259,391.995436,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
18,6.509,349.2282314,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
19,7.007,311.1269837,1.0,0,0.0,stim_min_1,p_Simon,main,1,0,0,1
20,8.03,261.6255653,17.5,0,0.0,stim_min_1,p_Simon,main,0,1,1,1
21,9.01,391.995436,17.5,1,10.09,stim_min_1,p_Simon,main,1,0,0,1
22,10.503,415.3046976,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
23,11.01,391.995436,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
24,11.506,349.2282314,17.5,0,0.0,stim_min_1,p_Simon,main,1,0,0,1
25,12.006,311.1269837,17.5,1,12.022,stim_min_1,p_Simon,main,0,0,0,1
26,12.515,349.2282314,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
27,13.015,391.995436,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
28,13.5,293.6647679,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
29,14.012,246.9416506,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
30,15.008,261.6255653,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
31,16.004,391.995436,17.5,0,0.0,stim_min_1,p_Simon,main,0,1,0,1
32,17.009,415.3046976,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
33,18.002,391.995436,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
34,19.012,369.9944227,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
35,20.007,493.8833013,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
36,21.019,523.2511306,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
37,22.003,349.2282314,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
38,23.018,311.1269837,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
39,24.512,391.995436,1.0,0,0.0,stim_min_1,p_Simon,main,0,1,1,1
40,25.008,415.3046976,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
41,25.508,261.6255653,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
42,26.008,246.9416506,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
43,27.016,261.6255653,-17.5,0,0.0,stim_min_1,p_Simon,main,1,0,1,1
44,28.512,293.6647679,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
45,28.762,311.1269837,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
46,29.008,349.2282314,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
47,29.508,311.1269837,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
48,29.758,293.6647679,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
49,30.008,311.1269837,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
50,31.002,261.6255653,-17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
51,32.014,261.6255653,-17.5,0,0.0,stim_min_1,p_Simon,main,0,1,0,1
52,33.017,246.9416506,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,1,1
53,33.501,261.6255653,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
54,33.751,293.6647679,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
55,34.001,311.1269837,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
56,34.514,293.6647679,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
57,35.014,261.6255653,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
58,35.514,369.9944227,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
59,36.01,391.995436,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
60,36.51,233.0818808,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
61,37.01,261.6255653,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
62,37.506,261.6255653,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
63,38.002,293.6647679,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,1,1
64,38.514,293.6647679,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
65,39.014,195.997718,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
66,40.007,261.6255653,17.5,0,0.0,stim_min_1,p_Simon,main,1,1,0,1
67,40.507,293.6647679,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
68,41.01,311.1269837,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
69,41.506,311.1269837,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
70,41.756,293.6647679,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
71,42.006,311.1269837,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
72,42.504,349.2282314,17.5,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
73,43.012,391.995436,1.0,0,0.0,stim_min_1,p_Simon,main,1,0,1,1
74,43.262,349.2282314,1.0,1,43.493,stim_min_1,p_Simon,main,0,0,0,0
75,43.509,311.1269837,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
76,43.759,349.2282314,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
77,44.005,391.995436,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,1
78,44.505,415.3046976,1.0,0,0.0,stim_min_1,p_Simon,main,0,0,0,0
